group,replicate,fastq_1,fastq_2
H1,1,SRR942485_1.fastq.gz,SRR942485_2.fastq.gz
H1,1,SRR942486_1.fastq.gz,SRR942486_2.fastq.gz
H1,1,SRR942487_1.fastq.gz,SRR942487_2.fastq.gz
H1,1,SRR942488_1.fastq.gz,SRR942488_2.fastq.gz
H1,1,SRR942489_1.fastq.gz,SRR942489_2.fastq.gz
H1,1,SRR942490_1.fastq.gz,SRR942490_2.fastq.gz
H1,1,SRR942491_1.fastq.gz,SRR942491_2.fastq.gz
H1,1,SRR942492_1.fastq.gz,SRR942492_2.fastq.gz
H1,1,SRR942493_1.fastq.gz,SRR942493_2.fastq.gz
H1,1,SRR942494_1.fastq.gz,SRR942494_2.fastq.gz
H1,1,SRR942495_1.fastq.gz,SRR942495_2.fastq.gz
H1,1,SRR942496_1.fastq.gz,SRR942496_2.fastq.gz
