TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
HNF1A,HepG2,HNF1A_HepG2,10.4347539841093,17527,82,2.74705385839851e-247
FOXA1,K562,FOXA1_K562,7.29782382274508,417,11,5.68817779998006e-20
GATA1,K562,GATA1_K562,7.12611315661582,2776,75,5.06047142788856e-123
GATA2,K562,GATA2_K562,6.63543571527344,9234,268,0
LEF1,K562,LEF1_K562,5.20211492691922,4404,163,1.53999872826144e-162
STAT3,HeLa-S3,STAT3_HeLa-S3,5.1860402161828,17358,24,4.50706032606385e-28
GATA2,HepG2,GATA2_HepG2,4.54759426138833,6988,75,4.82550923801093e-66
HNF4G,HepG2,HNF4G_HepG2,4.034508428981,21239,257,3.73993811481938e-179
HNF4A,HepG2,HNF4A_HepG2,3.8586832003082,38956,493,1.99662266549185e-314
TCF7,HepG2,TCF7_HepG2,3.79597910433879,11121,143,7.67697817832847e-90
TCF7L2,HepG2,TCF7L2_HepG2,3.75477669419153,21843,284,7.00477190143892e-173
CEBPD,HepG2,CEBPD_HepG2,3.54315590324575,9945,137,1.58023419913119e-75
FOXA3,K562,FOXA3_K562,3.51534200245597,3031,166,7.08143575508774e-82
RUNX1,K562,RUNX1_K562,3.50755732744923,911,50,9.48348026017152e-26
CEBPA,HepG2,CEBPA_HepG2,3.43013751722587,24591,350,4.76169060457362e-178
NR2F2,HepG2,NR2F2_HepG2,3.17250556461549,7800,120,3.20054568287311e-53
IRF9,K562,IRF9_K562,3.16441672056372,1052,64,1.52855967971648e-26
MEF2D,K562,MEF2D_K562,3.10188702130903,2739,170,7.63395438430828e-65
THRB,HepG2,THRB_HepG2,2.9886142016948,6552,107,4.79201174190017e-42
FOXA1,HepG2,FOXA1_HepG2,2.93861865785294,31779,528,1.14075880630283e-192
NFIC,HepG2,NFIC_HepG2,2.90091976273388,2972,50,2.6361169079604e-19
FOXA1,MCF-7,FOXA1_MCF-7,2.82764119408209,54856,160,1.87208502398069e-56
MAFG,K562,MAFG_K562,2.81949170742268,10571,722,5.97424587035575e-217
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.71910087988543,47017,124,1.82351823714108e-40
ONECUT2,HepG2,ONECUT2_HepG2,2.66197665604026,5127,94,8.69997019765618e-29
MAFF,K562,MAFF_K562,2.6434632647379,5533,403,9.57490604282084e-105
NFE2L1,K562,NFE2L1_K562,2.46622188203702,3971,310,3.38080551333704e-68
MEF2A,K562,MEF2A_K562,2.45756514771505,2285,179,8.2627002897331e-40
KLF10,K562,KLF10_K562,2.44482327244688,127,10,0.00173533787000431
FOXA2,HepG2,FOXA2_HepG2,2.40158020451589,31433,639,1.05015201542541e-142
CEBPG,HepG2,CEBPG_HepG2,2.38913457355633,11405,233,1.40454107006475e-52
SMAD3,K562,SMAD3_K562,2.37424424023561,222,18,5.58995409182259e-05
BACH1,K562,BACH1_K562,2.36093346150126,8448,689,7.44500783229179e-133
RXRB,HepG2,RXRB_HepG2,2.33611655816691,14741,308,6.19804914226981e-65
FOXP1,HepG2,FOXP1_HepG2,2.29175395319836,13757,293,9.20482915574276e-59
SOX13,HepG2,SOX13_HepG2,2.28341255758611,9731,208,7.62330703275942e-42
NFE2,K562,NFE2_K562,2.27008759657265,10716,909,1.15716270044431e-156
GATA4,HepG2,GATA4_HepG2,2.2684258226681,2417,52,1.67080657803561e-11
JUND,HeLa-S3,JUND_HeLa-S3,2.20985901466722,181422,589,3.39867499696167e-108
PBX2,K562,PBX2_K562,2.20140683424767,5614,491,1.84197914402401e-78
CEBPB,HepG2,CEBPB_HepG2,2.16019393113934,14118,319,4.27612181401726e-54
TEF,HepG2,TEF_HepG2,2.13615789756626,2670,61,2.3222174262567e-11
HMBOX1,K562,HMBOX1_K562,2.12290175787772,2029,184,1.35681015560314e-27
NR2F2,K562,NR2F2_K562,2.11289304777932,3479,317,1.35537431932314e-45
JUNB,K562,JUNB_K562,2.10896203900922,14149,1292,1.22849205198828e-178
HNF1B,HepG2,HNF1B_HepG2,2.09895826271911,6967,162,3.79222794041593e-26
TCF7L2,K562,TCF7L2_K562,2.09894469104803,338,31,9.38447073478697e-06
NR4A1,K562,NR4A1_K562,2.09871237029655,2213,203,2.83884040348197e-29
GATA3,MCF-7,GATA3_MCF-7,2.09320478763552,18785,74,4.24073749546169e-13
MEF2A,HepG2,MEF2A_HepG2,2.05102978124122,3236,77,1.75915541404729e-12
JUND,K562,JUND_K562,2.04901307616221,24827,2334,3.64397710459465e-293
RARA,HepG2,RARA_HepG2,2.0262870957955,21046,507,6.02249432309536e-70
FOXA3,HepG2,FOXA3_HepG2,2.01230047870878,17892,434,7.14782240631378e-59
SRF,K562,SRF_K562,1.99566946015121,3172,306,4.66770521581565e-37
NR5A1,HepG2,NR5A1_HepG2,1.98001881536093,19714,486,2.09307927238934e-62
DBP,HepG2,DBP_HepG2,1.97648838441208,162,4,0.11080583203653
FOS,K562,FOS_K562,1.95011264532155,3525,348,6.51329392240642e-39
IRF1,HepG2,IRF1_HepG2,1.94893412138035,2436,61,6.97698212778855e-09
FOSL2,MCF-7,FOSL2_MCF-7,1.92705577194307,94389,404,2.54287893199629e-49
FOSL1,K562,FOSL1_K562,1.90826570094918,32063,3237,3.90657706166674e-320
NFIL3,HepG2,NFIL3_HepG2,1.87831535085419,11853,308,6.60175170657145e-34
