TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
ATF2_HepG2,ATF2,HepG2,0.752385671983846,19641,1418,1,35.353
ATF2_K562,ATF2,K562,0.96772247085188,11410,2653,0.936953105603467,49.266
ATF4_HepG2,ATF4,HepG2,0.841568590584554,852,55,0.903558185002007,688.821
ATF4_K562,ATF4,K562,1.43764375367997,9314,1458,1.65031835389025e-41,374.613
ATF6_HepG2,ATF6,HepG2,0.191598438817197,328,93,1,14.802
ATF6_K562,ATF6,K562,0.165004723000182,143,195,1,28.37
ATF7_HepG2,ATF7,HepG2,0.539368007838007,15562,1567,1,11.257
ATF7_K562,ATF7,K562,0.447279455125947,5331,2681,1,11.579
BACH1_K562,BACH1,K562,2.20435497007432,8472,865,2.95245990548204e-134,21.378
BCL6_HepG2,BCL6,HepG2,1.16701058871571,12115,564,0.000134494973476213,28.63
BHLHE40_HepG2,BHLHE40,HepG2,0.302459420360973,7998,1436,1,54.447
BHLHE40_K562,BHLHE40,K562,0.472968461927154,4432,2108,1,76.397
CEBPA_HepG2,CEBPA,HepG2,2.94988810612343,24643,454,9.51520391409607e-167,33.365
CEBPB_HeLa-S3,CEBPB,HeLa-S3,2.57560763753732,47232,151,5.12004096500129e-43,29.704
CEBPB_HepG2,CEBPB,HepG2,1.67828975098256,14147,458,1.45893805702366e-32,42.833
CEBPB_K562,CEBPB,K562,1.26157455732263,8000,1427,5.82146737391797e-17,10.532
CEBPD_HepG2,CEBPD,HepG2,2.83932962574682,9981,191,1.69555578787736e-65,26.114
CEBPG_HepG2,CEBPG,HepG2,1.92420570110109,11439,323,2.90169653130398e-38,31.207
CEBPG_K562,CEBPG,K562,1.29451529627397,4769,829,9.21341921312059e-13,33.139
CREB3_HepG2,CREB3,HepG2,0.10842908984943,505,253,1,11.7
CTCF_HeLa-S3,CTCF,HeLa-S3,0.218428281499468,245599,9204,1,41.445
CTCF_HepG2,CTCF,HepG2,0.222212994443475,86892,21104,1,18.7
CTCF_K562,CTCF,K562,0.198621971591243,34645,38975,1,24.774
CTCFL_K562,CTCFL,K562,0.0868556488265581,2019,5225,1,83.547
E2F1_HeLa-S3,E2F1,HeLa-S3,0.209120081264557,1956,77,1,58.356
E2F1_HepG2,E2F1,HepG2,0.0406124295873554,409,547,1,27.397
E2F1_K562,E2F1,K562,0.113907583411822,638,1260,1,17.021
E2F3_K562,E2F3,K562,0.435024968592468,116,60,0.999999788004556,26.641
E2F4_HeLa-S3,E2F4,HeLa-S3,0.0354618730424912,280,65,1,49.196
E2F4_HepG2,E2F4,HepG2,0.0605104074862143,820,736,1,85.897
E2F4_K562,E2F4,K562,0.0204063839591689,39,430,1,78.737
E2F6_HeLa-S3,E2F6,HeLa-S3,0.0459191218322519,8281,1483,1,16.479
E2F6_K562,E2F6,K562,0.126448441394874,6748,11980,1,12.191
EGR1_K562,EGR1,K562,0.194960953944165,31099,35663,1,11.191
ELF1_HepG2,ELF1,HepG2,0.291148938419809,21010,3916,1,13.542
ELF1_K562,ELF1,K562,0.449648225660614,13786,6893,1,21.775
ELF2_K562,ELF2,K562,0.0945087447352669,837,1992,1,15.143
ELF3_HepG2,ELF3,HepG2,0.510412493615261,25879,2753,1,14.166
ELF4_K562,ELF4,K562,0.280484377748725,3936,3156,1,30.148
ELK1_HeLa-S3,ELK1,HeLa-S3,0.0313419852035162,1729,454,1,10.551
ELK1_K562,ELK1,K562,0.0464145258955339,306,1483,1,17.99
ELK4_HeLa-S3,ELK4,HeLa-S3,0.0431791478329744,5044,961,1,15.617
ERF_HepG2,ERF,HepG2,0.114107299094771,2387,1136,1,32.201
ERF_K562,ERF,K562,0.173684539059565,264,342,1,16.025
ESRRA_HepG2,ESRRA,HepG2,1.41941899970792,10816,414,9.26073498811811e-14,16.104
ESRRA_K562,ESRRA,K562,0.993291847926137,6520,1477,0.599024967599654,21.409
ESRRB_K562,ESRRB,K562,0.832553772112864,37,10,0.765279219992257,11.625
ETV4_HepG2,ETV4,HepG2,0.491254805654963,9741,1077,1,269.717
ETV5_HepG2,ETV5,HepG2,0.128181269927473,5398,2286,1,32.326
FOS_HeLa-S3,FOS,HeLa-S3,1.24829941750336,48518,320,2.37371960576485e-05,11.02
FOSL2_HepG2,FOSL2,HepG2,1.45542954736014,48287,1803,4.87694814067124e-62,19.26
FOXA1_HepG2,FOXA1,HepG2,2.76304965602915,31875,627,1.42302557283169e-197,32.379
FOXA2_HepG2,FOXA2,HepG2,2.25570853644734,31544,760,3.38834192780964e-142,10.875
