TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
HNF1A,HepG2,HNF1A_HepG2,10.4428401425121,17499,82,1.59141614402421e-247
FOXA1,K562,FOXA1_K562,7.32204557379169,417,11,4.68832803841732e-20
GATA1,K562,GATA1_K562,7.06476235672323,2743,75,1.97849972337071e-121
GATA2,K562,GATA2_K562,6.62068204646796,9183,268,0
STAT3,HeLa-S3,STAT3_HeLa-S3,5.19107017344832,17328,24,4.09256587264582e-28
LEF1,K562,LEF1_K562,5.18619296844317,4376,163,1.1596021786549e-161
GATA2,HepG2,GATA2_HepG2,4.54991938351408,6975,75,4.27546773434456e-66
HNF4G,HepG2,HNF4G_HepG2,4.03495484135385,21191,257,3.55014940631158e-179
HNF4A,HepG2,HNF4A_HepG2,3.85593442411994,38836,493,5.59081059232026e-314
TCF7,HepG2,TCF7_HepG2,3.79815582144844,11101,143,6.24342286233185e-90
TCF7L2,HepG2,TCF7L2_HepG2,3.75922003480964,21817,284,2.94250498145532e-173
CEBPD,HepG2,CEBPD_HepG2,3.54300334981067,9921,137,1.62519672625402e-75
FOXA3,K562,FOXA3_K562,3.52468345233883,3029,166,2.83045528567224e-82
RUNX1,K562,RUNX1_K562,3.51919933360844,911,50,6.68040233789975e-26
CEBPA,HepG2,CEBPA_HepG2,3.43101727501722,24539,350,3.98125396811041e-178
IRF9,K562,IRF9_K562,3.17491987677128,1052,64,1.03780517367296e-26
NR2F2,HepG2,NR2F2_HepG2,3.17188925015683,7780,120,3.39431703084019e-53
MEF2D,K562,MEF2D_K562,3.09968305460224,2728,170,1.01457886237438e-64
THRB,HepG2,THRB_HepG2,2.98931403003131,6538,107,4.60075051771085e-42
FOXA1,HepG2,FOXA1_HepG2,2.93874171244565,31705,528,1.13489276437422e-192
NFIC,HepG2,NFIC_HepG2,2.90781268056221,2972,50,2.1226383935307e-19
FOXA1,MCF-7,FOXA1_MCF-7,2.82855034858288,54739,160,1.70797378250582e-56
MAFG,K562,MAFG_K562,2.8256415461995,10559,722,5.79474660444476e-218
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.71902743155907,46889,124,1.83639773638284e-40
ONECUT2,HepG2,ONECUT2_HepG2,2.66153562379247,5114,94,8.96851429081134e-29
MAFF,K562,MAFF_K562,2.64504704447069,5518,403,7.44486796854636e-105
NFE2L1,K562,NFE2L1_K562,2.47440884128502,3971,310,9.51002254267289e-69
MEF2A,K562,MEF2A_K562,2.46572267179743,2285,179,3.98582567455987e-40
KLF10,K562,KLF10_K562,2.45293761321105,127,10,0.0016637725040793
FOXA2,HepG2,FOXA2_HepG2,2.40284521932607,31375,639,6.84455900646847e-143
CEBPG,HepG2,CEBPG_HepG2,2.38725134917716,11369,233,1.81640690557653e-52
SMAD3,K562,SMAD3_K562,2.38212436797353,222,18,5.20673995379351e-05
BACH1,K562,BACH1_K562,2.36204033722763,8424,689,5.75496428806333e-133
RXRB,HepG2,RXRB_HepG2,2.33547156469945,14702,308,7.00649888850298e-65
FOXP1,HepG2,FOXP1_HepG2,2.29051933933436,13717,293,1.13418597356972e-58
SOX13,HepG2,SOX13_HepG2,2.2810753985667,9698,208,1.00129799981127e-41
GATA4,HepG2,GATA4_HepG2,2.27005256058138,2413,52,1.5984938670708e-11
NFE2,K562,NFE2_K562,2.26699306636758,10666,909,5.37981427760408e-156
JUND,HeLa-S3,JUND_HeLa-S3,2.21076415808202,181007,589,2.55159842375674e-108
PBX2,K562,PBX2_K562,2.20871531326227,5614,491,3.55059010727719e-79
CEBPB,HepG2,CEBPB_HepG2,2.15842411672908,14073,319,5.79500557121155e-54
TEF,HepG2,TEF_HepG2,2.14123362007131,2670,61,1.98056771198095e-11
NR2F2,K562,NR2F2_K562,2.11381239856222,3469,317,1.23810638153435e-45
JUNB,K562,JUNB_K562,2.11237489709207,14125,1292,1.92575189171438e-179
HMBOX1,K562,HMBOX1_K562,2.11105084718212,2011,184,3.83550290122268e-27
TCF7L2,K562,TCF7L2_K562,2.10591113929611,338,31,8.51158619659882e-06
HNF1B,HepG2,HNF1B_HepG2,2.10032166424562,6955,162,3.40673653797195e-26
GATA3,MCF-7,GATA3_MCF-7,2.09209743025038,18729,74,4.42888900888799e-13
NR4A1,K562,NR4A1_K562,2.08474329135363,2191,203,1.07343989155942e-28
MEF2A,HepG2,MEF2A_HepG2,2.04700815155991,3222,77,2.05824592005558e-12
JUND,K562,JUND_K562,2.04686799256719,24719,2334,4.60816151597009e-292
RARA,HepG2,RARA_HepG2,2.02617953058242,20995,507,6.27344112463799e-70
FOXA3,HepG2,FOXA3_HepG2,2.01167002672619,17844,434,8.26220698277811e-59
SRF,K562,SRF_K562,1.99282396725551,3157,306,7.08271666623823e-37
DBP,HepG2,DBP_HepG2,1.98118445909361,162,4,0.109672934164986
NR5A1,HepG2,NR5A1_HepG2,1.97626488256533,19630,486,5.06812607425519e-62
FOS,K562,FOS_K562,1.9565861631866,3525,348,2.58269820397551e-39
IRF1,HepG2,IRF1_HepG2,1.95356495800064,2436,61,6.10429491943728e-09
FOSL2,MCF-7,FOSL2_MCF-7,1.92835797049558,94221,404,1.97974701928159e-49
FOSL1,K562,FOSL1_K562,1.90886763705003,31967,3237,2.43722583093487e-320
NFIL3,HepG2,NFIL3_HepG2,1.87547059519621,11807,308,9.878155094113e-34
MAFK,K562,MAFK_K562,1.85471492653431,11549,1203,5.56475043445834e-109
BCL6,K562,BCL6_K562,1.82844139476264,284,30,0.000479251139663294
NFATC3,K562,NFATC3_K562,1.82713376675688,1523,161,2.20393308429111e-15
ONECUT1,HepG2,ONECUT1_HepG2,1.82274336908606,24065,646,4.20664215340681e-62
FOS,MCF-7,FOS_MCF-7,1.80980650201823,180090,823,5.04448859867175e-79
PRDM1,HeLa-S3,PRDM1_HeLa-S3,1.77063789932183,8620,35,0.000144892328814214
TCF7L2,MCF-7,TCF7L2_MCF-7,1.75887104834457,20640,97,6.96161581747086e-10
NR2F1,HepG2,NR2F1_HepG2,1.7249147139506,19919,565,1.8756347191885e-44
ATF4,K562,ATF4_K562,1.68322354577496,9236,1060,1.91997163362025e-66
HLF,HepG2,HLF_HepG2,1.63015911733176,31583,948,4.64993366292987e-58
IKZF1,K562,IKZF1_K562,1.60853890361829,17475,2099,2.39160994115316e-106
TBX18,K562,TBX18_K562,1.54796621660664,553,69,0.000194571434187293
NR3C1,K562,NR3C1_K562,1.54515607974394,160,20,0.0356131106280339
TEAD1,HepG2,TEAD1_HepG2,1.52556315096269,15030,482,1.04117413772261e-22
FOXK2,K562,FOXK2_K562,1.52264840386723,4643,589,2.24329260021421e-24
FOSL2,HepG2,FOSL2_HepG2,1.51656092368376,48098,1552,6.90478579485281e-67
JUND,HepG2,JUND_HepG2,1.50259601851498,45998,1498,1.11104356209367e-61
PBX2,HepG2,PBX2_HepG2,1.48589347721657,729,24,0.0281609034666967
ESRRA,HepG2,ESRRA_HepG2,1.48067997893553,10684,353,7.28349941748199e-15
ZNF652,HepG2,ZNF652_HepG2,1.45122628635788,6556,221,4.84538113615126e-09
CEBPG,K562,CEBPG_K562,1.44316711400773,4707,630,8.36625036438789e-20
FOXO4,K562,FOXO4_K562,1.41638994591413,44,6,0.279873746812459
CEBPG,MCF-7,CEBPG_MCF-7,1.40821623299258,18570,109,0.00010101218476536
MEF2D,HepG2,MEF2D_HepG2,1.40265548764964,4731,165,4.10968174965095e-06
CEBPB,K562,CEBPB_K562,1.39061633272863,7883,1095,1.02167868292598e-26
JUN,HeLa-S3,JUN_HeLa-S3,1.37994152242082,22073,115,0.000172329072904244
RELA,K562,RELA_K562,1.37738355321166,706,99,0.00117412461035761
NFE2L1,HepG2,NFE2L1_HepG2,1.33383810251428,818,30,0.0659017292379044
ZNF24,K562,ZNF24_K562,1.32870573057918,16954,2465,1.18779987706039e-42
IRF1,K562,IRF1_K562,1.29770950242904,15726,2341,3.72204152994256e-34
MAFF,HepG2,MAFF_HepG2,1.29180438376015,13863,525,1.21585055772223e-09
MAFG,HepG2,MAFG_HepG2,1.29173122514913,2799,106,0.00425128167321315
CUX1,K562,CUX1_K562,1.27476115565895,792,120,0.0063063166541333
CEBPB,MCF-7,CEBPB_MCF-7,1.26814328630197,27002,176,0.000639209446984093
RBPJ,K562,RBPJ_K562,1.25543875173079,234,36,0.115099924566851
NFIX,K562,NFIX_K562,1.25319344319443,279,43,0.0936744469643224
MAFF,HeLa-S3,MAFF_HeLa-S3,1.25055741743719,24874,143,0.00331796438862744
BCL6,HepG2,BCL6_HepG2,1.24918243072054,12078,473,5.18284363926737e-07
NFIA,HepG2,NFIA_HepG2,1.2412826031332,4339,171,0.00241245637359646
MEIS2,K562,MEIS2_K562,1.23768479470038,3582,559,8.58488319778792e-07
NR2F1,K562,NR2F1_K562,1.22122213470178,12600,1993,1.16960811627335e-17
USF1,K562,USF1_K562,1.21400878159645,8931,1421,2.07754816553963e-12
ZNF274,K562,ZNF274_K562,1.20393259877833,187,30,0.198402472855196
FOS,HeLa-S3,FOS_HeLa-S3,1.19542546935541,48219,290,0.00102040070015058
MITF,K562,MITF_K562,1.16478788273086,19404,3218,1.89198172138938e-16
TEAD4,HepG2,TEAD4_HepG2,1.15997224084069,12828,541,0.000300512577098536
FOXK2,HepG2,FOXK2_HepG2,1.15963387205088,3058,129,0.0516688428329138
PITX1,HepG2,PITX1_HepG2,1.15570433562457,4536,192,0.0249052493134564
GFI1,HepG2,GFI1_HepG2,1.15398041950805,7242,307,0.00665068218873477
ISL2,HepG2,ISL2_HepG2,1.15365540612016,1415,60,0.152665768543494
SPI1,K562,SPI1_K562,1.136514255439,17498,2974,3.18065625485403e-11
TCF7,K562,TCF7_K562,1.11997177646242,835,144,0.1116282717983
JUND,MCF-7,JUND_MCF-7,1.10789033624731,47046,351,0.0280694958810959
ESRRA,K562,ESRRA_K562,1.10127764397334,6460,1133,0.00131035121733919
IRF2,K562,IRF2_K562,1.09984006006263,2813,494,0.0260179236502589
TEAD4,K562,TEAD4_K562,1.09579298420067,3960,698,0.012968660511963
TEAD4,MCF-7,TEAD4_MCF-7,1.09337564099409,10318,78,0.234824483640021
ZBTB12,K562,ZBTB12_K562,1.08160778103381,392,70,0.297574152719013
ZNF384,K562,ZNF384_K562,1.07685801581426,71163,12767,4.56228418221506e-15
ATF2,K562,ATF2_K562,1.07621288284783,11361,2039,0.00109048671478591
NR2C1,K562,NR2C1_K562,1.074160466241,4577,823,0.0299226077487522
RREB1,K562,RREB1_K562,1.0599970340185,4363,795,0.0671333353483499
NFIB,HepG2,NFIB_HepG2,1.05409173293553,3814,177,0.260743073183017
FOXK1,HepG2,FOXK1_HepG2,1.05150646557336,6599,307,0.203527184453584
ZEB1,HepG2,ZEB1_HepG2,1.03620920339673,6037,285,0.29091391468645
USF2,K562,USF2_K562,1.03605109433435,11007,2052,0.0716262641292807
SIX1,HepG2,SIX1_HepG2,1.02896740351681,2440,116,0.405062606476298
NFE2,HepG2,NFE2_HepG2,1.01574251152552,2201,106,0.462985678163951
PPARG,HepG2,PPARG_HepG2,1.01174392209549,8335,403,0.422240858138347
TCF7L2,HeLa-S3,TCF7L2_HeLa-S3,1.00690745808154,21569,154,0.48740143937661
ATF3,K562,ATF3_K562,1.00251617704079,7874,1517,0.471118901106293
CUX1,MCF-7,CUX1_MCF-7,0.968202211697287,4217,36,0.619334331896479
SRF,MCF-7,SRF_MCF-7,0.951255147077503,10358,90,0.705107168464381
MAFK,MCF-7,MAFK_MCF-7,0.938997662208992,17609,155,0.795714946646006
NFIC,K562,NFIC_K562,0.93102702593624,3490,724,0.960913969025933
NFE2L2,HepG2,NFE2L2_HepG2,0.930261688252052,4507,237,0.867994223455949
PKNOX1,K562,PKNOX1_K562,0.927364558840859,12225,2546,0.999714893757945
