TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
MAFG,HepG2,MAFG_HepG2,27.076959589521,1831,1,5.88136211574326e-11
LEF1,K562,LEF1_K562,13.6346476744008,3484,14,1.0410196154573e-60
GATA1,K562,GATA1_K562,12.7240137109818,1626,7,1.47793634723304e-28
GATA2,K562,GATA2_K562,6.51213789264536,5229,44,5.04175187277514e-69
THRB,HepG2,THRB_HepG2,5.02613389053283,5777,17,2.83780729229719e-19
ONECUT1,HepG2,ONECUT1_HepG2,4.81237785987928,14311,44,3.14603206662625e-44
TCF7,HepG2,TCF7_HepG2,4.54217491745107,7370,24,1.22190441714129e-22
GATA2,HepG2,GATA2_HepG2,4.33921130614896,4401,15,1.13519721929308e-13
CEBPB,HeLa-S3,CEBPB_HeLa-S3,3.48330388427036,25148,18,3.01037742856358e-11
TCF7,K562,TCF7_K562,3.21500361255769,587,10,7.60515783778375e-06
MEF2A,HepG2,MEF2A_HepG2,3.12349484956781,2957,14,1.84624403978642e-07
CEBPB,MCF-7,CEBPB_MCF-7,2.90176592940773,10072,18,4.33758827267007e-08
TEAD4,MCF-7,TEAD4_MCF-7,2.88913995627418,6686,12,8.62096754586568e-06
GATA4,HepG2,GATA4_HepG2,2.83924750712978,2112,11,3.14045313511484e-05
HNF4A,HepG2,HNF4A_HepG2,2.81037802801059,21081,111,5.66390607079979e-39
HMBOX1,K562,HMBOX1_K562,2.72039525154849,1341,27,9.541456092662e-10
FOXA1,MCF-7,FOXA1_MCF-7,2.50466456696194,18833,39,1.35654314485702e-11
TCF7L2,HepG2,TCF7L2_HepG2,2.37550673260828,15094,94,1.85869423884278e-22
MAFF,HeLa-S3,MAFF_HeLa-S3,2.26768486771763,13646,15,0.000213776077557392
NFATC3,K562,NFATC3_K562,2.25786129681179,1484,36,2.68394682234147e-08
ZBTB12,K562,ZBTB12_K562,2.10859578559685,385,10,0.00701177336312636
MAFF,HepG2,MAFF_HepG2,2.06374569058617,6698,48,1.13642443278918e-08
TBX2,HepG2,TBX2_HepG2,2.00018341335514,6627,49,3.95542944271485e-08
ZNF24,K562,ZNF24_K562,1.9766134648471,12406,344,3.00781676958648e-44
RARA,HepG2,RARA_HepG2,1.97504134695361,13619,102,1.04770885614599e-14
BCL6,HepG2,BCL6_HepG2,1.95841816944137,7945,60,4.44578391532109e-09
CEBPG,MCF-7,CEBPG_MCF-7,1.95482493080482,6786,18,0.00111461993417723
FOXA2,HepG2,FOXA2_HepG2,1.94800242352158,15144,115,1.0337959591868e-15
FOXK2,HepG2,FOXK2_HepG2,1.93718409412022,2620,20,0.000753705039632249
FOXP1,HepG2,FOXP1_HepG2,1.93227812060615,7839,60,9.57060117977068e-09
FOXA1,HepG2,FOXA1_HepG2,1.93012666244381,15266,117,1.61638872535295e-15
MAFG,K562,MAFG_K562,1.91146992490801,5129,147,5.59359619000431e-18
RBPJ,K562,RBPJ_K562,1.79518119408747,295,9,0.0439908361795449
NR2F1,HepG2,NR2F1_HepG2,1.76888050096878,13633,114,1.68809593120391e-11
FOXA3,K562,FOXA3_K562,1.76129966463829,1640,51,9.34252144262463e-06
HNF4G,HepG2,HNF4G_HepG2,1.73254430585904,14407,123,1.90307977029657e-11
GATA3,MCF-7,GATA3_MCF-7,1.73154742095504,6345,19,0.00634918247100965
HNF1A,HepG2,HNF1A_HepG2,1.71962652444648,11394,98,3.30611388429216e-09
NR4A1,K562,NR4A1_K562,1.70273546614522,2145,69,1.51094113791356e-06
RXRB,HepG2,RXRB_HepG2,1.67752547049082,11342,100,1.31886805738015e-08
MEF2A,K562,MEF2A_K562,1.65094583878456,1266,42,0.000373424140560672
FOXA3,HepG2,FOXA3_HepG2,1.62563541057013,9343,85,8.89825423790604e-07
FOS,MCF-7,FOS_MCF-7,1.61010821240044,53376,172,9.22998411399086e-12
JUND,K562,JUND_K562,1.60925329614195,13009,443,1.64841752102398e-26
FOSL1,K562,FOSL1_K562,1.56233356638892,16391,575,1.081409085894e-29
NFE2,K562,NFE2_K562,1.55467981434982,5449,192,7.70415112611497e-11
RUNX1,K562,RUNX1_K562,1.53078415964813,559,20,0.0310296699679429
ONECUT2,HepG2,ONECUT2_HepG2,1.5289475283775,3412,33,0.00618119178525484
PRDM1,HeLa-S3,PRDM1_HeLa-S3,1.52859511469477,6133,10,0.105518882756953
JUND,HepG2,JUND_HepG2,1.52138547817663,20467,199,1.72758451283763e-10
NR2F2,MCF-7,NR2F2_MCF-7,1.47629851378085,9965,35,0.00926636744347924
ZKSCAN1,HepG2,ZKSCAN1_HepG2,1.47378075052787,1794,18,0.0544414238216269
NR2F2,K562,NR2F2_K562,1.47171821540855,2472,92,7.11739740048787e-05
SIX1,HepG2,SIX1_HepG2,1.44987749744973,1961,20,0.0524229092367912
SOX13,HepG2,SOX13_HepG2,1.4072476290142,5900,62,0.00293928994597344
ISL2,HepG2,ISL2_HepG2,1.38468975697816,1311,14,0.132777283610537
NFIC,HepG2,NFIC_HepG2,1.37915806080752,2798,30,0.0414200923680824
FOSL2,HepG2,FOSL2_HepG2,1.37787140837079,21239,228,2.38609778292657e-07
CUX1,K562,CUX1_K562,1.35168510891003,617,25,0.077330835139913
PPARG,HepG2,PPARG_HepG2,1.35167326203654,7038,77,0.00353245206628262
IRF1,K562,IRF1_K562,1.33966227757054,10857,444,1.61130688350138e-10
MEIS2,HepG2,MEIS2_HepG2,1.33770890169425,2533,28,0.0682623322078634
ESRRA,MCF-7,ESRRA_MCF-7,1.33283821575525,9254,36,0.0444183552092142
IRF2,K562,IRF2_K562,1.31875675406285,1854,77,0.00793741855164432
TCF7L2,MCF-7,TCF7L2_MCF-7,1.3175306584678,9910,39,0.044575014045264
JUND,HeLa-S3,JUND_HeLa-S3,1.29953361886325,106316,204,5.65919668720579e-05
NR2F2,HepG2,NR2F2_HepG2,1.29943729677406,5536,63,0.0187849348961454
CEBPD,HepG2,CEBPD_HepG2,1.29688812928468,6139,70,0.0145377852795031
SRF,K562,SRF_K562,1.28525653806494,2417,103,0.00569254215330867
ZNF652,HepG2,ZNF652_HepG2,1.27966320752503,4673,54,0.0366716538940118
