TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
ATF2,H1,ATF2_H1,0.564551125265423,1,2468,324,1
ATF2,HepG2,ATF2_HepG2,0.904117764801502,0.999999909504229,9137,3847,1
ATF2,K562,ATF2_K562,0.927529085269892,0.999984828743128,5059,7667,1
ATF3,H1,ATF3_H1,0.315011683766832,1,374,88,1
ATF3,HepG2,ATF3_HepG2,0.269493038429483,1,999,1411,1
ATF3,K562,ATF3_K562,0.701163353555817,1,3279,6573,1
ATF4,HepG2,ATF4_HepG2,0.60383436750822,0.999999998446266,368,232,1
ATF4,K562,ATF4_K562,1.14559042087991,6.51240390134126e-11,4094,5024,6.09374936482646e-10
ATF6,HepG2,ATF6_HepG2,0.175695722809868,1,102,221,1
ATF6,K562,ATF6_K562,0.0571057846163792,1,26,640,1
ATF7,HepG2,ATF7_HepG2,0.712263918077271,1,7006,3744,1
ATF7,K562,ATF7_K562,0.516706864663848,1,2492,6778,1
ATF7,MCF-7,ATF7_MCF-7,0.442188255313762,1,11335,1906,1
BACH1,H1,BACH1_H1,0.596310413289927,1,2639,328,1
BACH1,K562,BACH1_K562,0.561434712032351,1,2573,6441,1
BCL6,HepG2,BCL6_HepG2,1.32493678126621,1.20722152041506e-28,6581,1891,1.58146019174373e-27
BCL6,K562,BCL6_K562,0.991552821748121,0.550538486882783,79,112,1
BHLHE40,HepG2,BHLHE40_HepG2,0.471410968167675,1,3821,3085,1
BHLHE40,K562,BHLHE40_K562,0.487569504569372,1,2068,5961,1
CEBPA,HepG2,CEBPA_HepG2,1.41187901017894,2.56625590654899e-77,12834,3461,5.04269285636877e-76
CEBPB,H1,CEBPB_H1,0.670269647112719,0.999999925726527,1890,209,1
CEBPB,HepG2,CEBPB_HepG2,0.953585301970147,0.980310186687445,6548,2614,1
CEBPB,K562,CEBPB_K562,1.00001902615272,0.503800087351648,3532,4965,1
CEBPB,MCF-7,CEBPB_MCF-7,0.626079359373722,1,8503,1010,1
CEBPD,HepG2,CEBPD_HepG2,1.02704913569466,0.166349684577057,5010,1857,0.895553781353197
CEBPG,HepG2,CEBPG_HepG2,0.996130354119807,0.565180977377966,5359,2048,1
CEBPG,K562,CEBPG_K562,0.817684740659531,0.999999999998606,1869,3213,1
CEBPG,MCF-7,CEBPG_MCF-7,0.719334993706932,0.999999999999867,5697,589,1
CLOCK,K562,CLOCK_K562,1.02236080951001,0.472288323094913,72,99,1
CLOCK,MCF-7,CLOCK_MCF-7,0.33454966993799,1,1480,329,1
CREB1,H1,CREB1_H1,0.271321511145325,1,1992,544,1
CREB1,HepG2,CREB1_HepG2,0.550021648580198,1,5597,3873,1
CREB1,K562,CREB1_K562,0.486728402695992,1,1185,3422,1
CREB1,MCF-7,CREB1_MCF-7,0.380093582490678,1,12638,2472,1
CREB3,HepG2,CREB3_HepG2,0.124348407915554,1,196,600,1
CREB3,K562,CREB3_K562,0.648793300130438,0.999999999988405,330,715,1
CREB3L1,K562,CREB3L1_K562,0.288715178949852,1,539,2624,1
CREM,HepG2,CREM_HepG2,0.223835260070991,1,2384,4053,1
CREM,K562,CREM_K562,0.32542115172678,1,2413,10418,1
CTCF,H1,CTCF_H1,0.43744230919855,1,28978,4897,1
CTCF,HepG2,CTCF_HepG2,0.219274732038937,1,31931,55149,1
CTCF,K562,CTCF_K562,0.15391698917336,1,9937,90225,1
CTCF,MCF-7,CTCF_MCF-7,0.258652951521102,1,97567,27918,1
CTCFL,K562,CTCFL_K562,0.119336453288266,1,909,10700,1
CUX1,K562,CUX1_K562,1.18676709806476,0.0116351121382567,336,398,0.0692818040959831
CUX1,MCF-7,CUX1_MCF-7,0.698032163441762,0.999978119848018,1436,153,1
DBP,HepG2,DBP_HepG2,0.69108328156048,0.992536481935558,118,65,1
DLX6,HepG2,DLX6_HepG2,0.638369677005839,0.999999528637407,327,195,1
E2F1,HepG2,E2F1_HepG2,0.0823119665496389,1,205,948,1
E2F1,K562,E2F1_K562,0.155933587658954,1,297,2677,1
E2F1,MCF-7,E2F1_MCF-7,0.227103336609635,1,2880,943,1
E2F2,HepG2,E2F2_HepG2,0.0954319776055691,1,90,359,1
E2F3,K562,E2F3_K562,0.285219487616067,1,56,276,1
E2F4,HepG2,E2F4_HepG2,0.111299326052431,1,455,1556,1
E2F4,K562,E2F4_K562,0.020955849200852,1,13,872,1
E2F4,MCF-7,E2F4_MCF-7,0.0119362334496998,1,13,81,1
E2F6,H1,E2F6_H1,0.409784577493182,1,23748,4285,1
E2F6,K562,E2F6_K562,0.111840881723421,1,2797,35072,1
E2F7,K562,E2F7_K562,0.11904846053455,1,52,614,1
