TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
ATF2,H1,ATF2_H1,0.514431484828751,1,2669,360,1
ATF2,K562,ATF2_K562,1.06595361504079,0.000120770922527811,6944,6357,0.000838868299720201
ATF3,H1,ATF3_H1,0.294928575223107,1,374,88,1
ATF3,K562,ATF3_K562,0.89155874477404,0.999999996352146,4839,5296,1
ATF4,K562,ATF4_K562,1.26008724782675,2.83061373168598e-30,5516,4272,5.59590560802536e-29
ATF6,K562,ATF6_K562,0.0964636642042185,1,52,526,1
ATF7,K562,ATF7_K562,0.601122792362868,1,3419,5549,1
ATF7,MCF-7,ATF7_MCF-7,0.43751467369197,1,19013,1644,1
BACH1,H1,BACH1_H1,0.972017686369757,0.699543081558726,4426,316,1
BACH1,K562,BACH1_K562,1.19811955258333,7.4700231458836e-18,4949,4031,1.01041892025899e-16
BCL6,K562,BCL6_K562,1.03679683754013,0.417471243065185,119,112,1
BHLHE40,K562,BHLHE40_K562,0.466367155256695,1,2592,5422,1
CEBPB,H1,CEBPB_H1,0.738570768527013,0.999928239920861,1937,182,1
CEBPB,HeLa-S3,CEBPB_HeLa-S3,1.18236917148475,4.99149687758988e-08,27770,1002,4.75116554644666e-07
CEBPB,K562,CEBPB_K562,0.843665327073838,0.999999999999996,3858,4462,1
CEBPB,MCF-7,CEBPB_MCF-7,0.726777015828182,0.999999999999999,13925,725,1
CEBPG,K562,CEBPG_K562,0.796956701206085,1,2291,2805,1
CEBPG,MCF-7,CEBPG_MCF-7,0.887853126536431,0.99179547877781,10042,428,1
CLOCK,K562,CLOCK_K562,1.07338990490277,0.339721958870231,99,90,1
CLOCK,MCF-7,CLOCK_MCF-7,0.281862052799377,1,2041,274,1
CREB1,H1,CREB1_H1,0.29092494577614,1,2382,568,1
CREB1,K562,CREB1_K562,0.568489955342356,1,1625,2789,1
CREB1,MCF-7,CREB1_MCF-7,0.385221670968267,1,22395,2199,1
CREB3,K562,CREB3_K562,0.380786905865315,1,304,779,1
CREB3L1,K562,CREB3L1_K562,0.227102639256032,1,537,2307,1
CREM,K562,CREM_K562,0.347931841504532,1,3069,8603,1
CTCF,H1,CTCF_H1,0.371039630244862,1,27872,5197,1
CTCF,HeLa-S3,CTCF_HeLa-S3,0.161492360277318,1,97742,25695,1
CTCF,K562,CTCF_K562,0.149093638985248,1,13284,86373,1
CTCF,MCF-7,CTCF_MCF-7,0.229886923339162,1,144121,23587,1
CTCFL,K562,CTCFL_K562,0.0714271919498389,1,779,10633,1
CUX1,K562,CUX1_K562,1.32687415078752,5.37278234186868e-05,446,328,0.000394515731960072
CUX1,MCF-7,CUX1_MCF-7,0.71704525304742,0.999668537652636,2217,117,1
E2F1,HeLa-S3,E2F1_HeLa-S3,0.0959541362396551,1,1028,457,1
E2F1,K562,E2F1_K562,0.153378222078388,1,374,2379,1
E2F1,MCF-7,E2F1_MCF-7,0.145425449662534,1,3448,897,1
E2F3,K562,E2F3_K562,0.222131460917368,1,56,246,1
E2F4,HeLa-S3,E2F4_HeLa-S3,0.0228686335992352,1,104,194,1
E2F4,K562,E2F4_K562,0.0176913705359007,1,13,717,1
E2F6,H1,E2F6_H1,0.32792208601291,1,21467,4530,1
E2F6,HeLa-S3,E2F6_HeLa-S3,0.0418448543949073,1,2919,2974,1
E2F6,K562,E2F6_K562,0.100868549123687,1,3056,29494,1
E2F7,K562,E2F7_K562,0.156054066315004,1,91,569,1
E2F8,K562,E2F8_K562,0.239593056117107,1,276,1124,1
E2F8,MCF-7,E2F8_MCF-7,0.0282083528302603,1,82,110,1
EGR1,H1,EGR1_H1,0.193729392159071,1,8952,3199,1
EGR1,K562,EGR1_K562,0.173967704833235,1,15775,87911,1
EGR1,MCF-7,EGR1_MCF-7,0.0769424482865681,1,9331,4583,1
ELF1,K562,ELF1_K562,0.431346264244216,1,7004,15832,1
ELF1,MCF-7,ELF1_MCF-7,0.1526245616838,1,17270,4277,1
ELF2,K562,ELF2_K562,0.0886117866071402,1,340,3743,1
ELF4,K562,ELF4_K562,0.28301342592911,1,1942,6693,1
ELK1,HeLa-S3,ELK1_HeLa-S3,0.0196006716439188,1,483,1051,1
ELK1,K562,ELK1_K562,0.030557930710034,1,81,2586,1
ELK1,MCF-7,ELK1_MCF-7,0.00896262896019856,1,368,1553,1
ELK3,K562,ELK3_K562,0.487903813650894,0.97750000251189,9,18,1
ELK4,HeLa-S3,ELK4_HeLa-S3,0.0363429939770871,1,1621,1902,1
ERF,K562,ERF_K562,0.126287047386092,1,106,819,1
ESR1,MCF-7,ESR1_MCF-7,0.435587342875646,1,21636,1879,1
ESRRA,K562,ESRRA_K562,0.777625961732733,1,3368,4226,1
ESRRA,MCF-7,ESRRA_MCF-7,0.355259277365799,1,7352,783,1
ESRRB,K562,ESRRB_K562,2.63468660132394,0.00474068651506431,27,10,0.0290084865326554
ETS1,K562,ETS1_K562,0.0747718172308993,1,233,3040,1
ETS2,K562,ETS2_K562,0.120303770677462,1,18,146,1
ETV1,K562,ETV1_K562,0.668503381024173,1,5595,8165,1
ETV5,K562,ETV5_K562,0.16429999506762,1,963,5717,1
ETV6,K562,ETV6_K562,0.488207115816522,1,728,1455,1
FOS,HeLa-S3,FOS_HeLa-S3,0.866022093586658,0.999999088535203,24280,1196,1
FOS,K562,FOS_K562,0.649844775750254,1,1685,2530,1
FOS,MCF-7,FOS_MCF-7,1.08573995388946,2.41712750255743e-07,108902,3796,2.14207506261124e-06
FOSL1,H1,FOSL1_H1,0.0416371548160121,1,36,60,1
FOSL1,K562,FOSL1_K562,1.09972553966921,1.91775277653098e-18,17769,15769,2.73812479760257e-17
FOSL2,MCF-7,FOSL2_MCF-7,0.768618783401177,1,49589,2441,1
FOXA1,K562,FOXA1_K562,0.969512482680165,0.628982104972017,154,155,1
FOXA1,MCF-7,FOXA1_MCF-7,0.919000277916302,0.998445873311568,31402,1293,1
FOXA3,K562,FOXA3_K562,1.16835805039275,4.0280598357912e-05,1420,1186,0.00030447393464657
FOXK2,K562,FOXK2_K562,0.959369513694147,0.927229152179659,2394,2435,1
FOXK2,MCF-7,FOXK2_MCF-7,0.113524633450334,0.99999999999921,60,20,1
FOXO4,K562,FOXO4_K562,0.975808404309819,0.604113982649213,12,12,1
GABPA,H1,GABPA_H1,0.0680481564523721,1,676,689,1
GABPA,HeLa-S3,GABPA_HeLa-S3,0.106795322853113,1,2857,1141,1
GABPA,K562,GABPA_K562,0.529344701042703,1,7435,13698,1
GABPA,MCF-7,GABPA_MCF-7,0.0828853462057292,1,5607,2558,1
GATA1,K562,GATA1_K562,4.63630303731772,2.97485153064277e-239,2019,425,3.82268421687596e-237
GATA2,K562,GATA2_K562,3.68113191388369,0,6467,1715,0
GATA3,MCF-7,GATA3_MCF-7,1.29496756927465,2.80069927422223e-07,12319,360,2.39926571158371e-06
HES1,K562,HES1_K562,0.249946014474256,1,291,1136,1
HES1,MCF-7,HES1_MCF-7,0.0720452391287006,1,337,177,1
HEY1,K562,HEY1_K562,0.66281221641056,0.978731746603326,36,53,1
HINFP,K562,HINFP_K562,0.0921628201787496,1,121,1281,1
HMBOX1,K562,HMBOX1_K562,1.44710896746437,1.06750337834861e-15,1130,762,1.37174184117796e-14
HSF1,MCF-7,HSF1_MCF-7,0.14775633681561,1,656,168,1
IKZF1,K562,IKZF1_K562,1.18062811897068,2.10399730974804e-30,10394,8592,4.50606090504372e-29
IRF1,K562,IRF1_K562,1.2542165242966,1.30706238649271e-46,9042,7036,3.35915033328626e-45
IRF2,K562,IRF2_K562,0.676765073350821,1,1177,1697,1
IRF3,HeLa-S3,IRF3_HeLa-S3,0.217568368834008,0.999999973554597,102,20,1
IRF9,K562,IRF9_K562,1.22906449718359,0.000866499784089394,529,420,0.00571001139771729
JUN,H1,JUN_H1,0.348876419678355,1,1086,216,1
JUN,HeLa-S3,JUN_HeLa-S3,0.896947103560903,0.994839617171421,12384,589,1
JUN,K562,JUN_K562,0.664795225733366,1,2290,3361,1
JUN,MCF-7,JUN_MCF-7,0.199283964678766,1,1659,315,1
JUNB,K562,JUNB_K562,0.910999026919124,0.999999982785903,6753,7233,1
JUND,H1,JUND_H1,1.13353866923691,0.00359132646079095,7856,481,0.0225114853761774
JUND,HeLa-S3,JUND_HeLa-S3,1.11634854618115,1.08549505988277e-12,107304,4101,1.26805559268124e-11
JUND,K562,JUND_K562,1.05077852834353,3.6505551321224e-05,13367,12414,0.000284300808774381
JUND,MCF-7,JUND_MCF-7,0.577914015967818,1,22011,1441,1
KLF10,K562,KLF10_K562,0.863645627303286,0.845146372008715,77,87,1
KLF13,K562,KLF13_K562,0.227627611333219,1,759,3253,1
KLF16,K562,KLF16_K562,0.320805923555879,1,1792,5449,1
KLF4,MCF-7,KLF4_MCF-7,0.175020926194894,1,21709,4688,1
KLF6,K562,KLF6_K562,0.206973722835092,1,231,1089,1
KLF9,MCF-7,KLF9_MCF-7,0.0721472081965588,1,37190,19395,1
LEF1,K562,LEF1_K562,1.47348736700095,2.14783939106396e-32,2283,1512,5.01813385003125e-31
MAFF,HeLa-S3,MAFF_HeLa-S3,1.14353990165896,0.000542927278604267,16083,600,0.00367190291056044
MAFF,K562,MAFF_K562,1.48774514585773,1.22535604670045e-46,3206,2103,3.35915033328626e-45
MAFG,K562,MAFG_K562,1.68741712923113,3.34522237818406e-148,6459,3736,2.86574050397768e-146
MAFK,H1,MAFK_H1,1.52811126342327,3.67435437175393e-12,5328,242,4.10569162409026e-11
MAFK,HeLa-S3,MAFK_HeLa-S3,0.771576496932204,0.999999999999921,16586,917,1
MAFK,K562,MAFK_K562,1.17023438687009,4.10390848093807e-19,6973,5815,6.20414399765343e-18
MAFK,MCF-7,MAFK_MCF-7,0.625868521007061,1,9858,596,1
MAX,H1,MAX_H1,0.4857099292786,1,6729,961,1
MAX,HeLa-S3,MAX_HeLa-S3,0.18231161434282,1,6318,1478,1
MAX,K562,MAX_K562,0.47525085604598,1,4158,8534,1
MAX,MCF-7,MAX_MCF-7,0.123505888353036,1,5649,1730,1
MAZ,HeLa-S3,MAZ_HeLa-S3,0.0385006467142908,1,5745,6357,1
MAZ,K562,MAZ_K562,0.123161875951142,1,8295,65385,1
MAZ,MCF-7,MAZ_MCF-7,0.043236222881468,1,8622,7529,1
MEF2A,K562,MEF2A_K562,1.99565356837293,8.87559505504906e-60,1591,778,2.85128491143451e-58
MEF2D,K562,MEF2D_K562,2.0069945977883,3.49665146002374e-62,1635,795,1.28377060746586e-60
MEIS2,K562,MEIS2_K562,1.12496992054194,6.70269928763447e-05,2278,1976,0.000478498254700572
MGA,K562,MGA_K562,0.78199685604296,0.999999999994992,1364,1702,1
MITF,K562,MITF_K562,0.92306497713773,0.99999999983953,11990,12674,1
MLX,K562,MLX_K562,0.18296216052941,1,27,144,1
MNT,K562,MNT_K562,0.432105818615213,1,3193,7208,1
MNT,MCF-7,MNT_MCF-7,0.210485784364737,1,8302,1492,1
MSX2,MCF-7,MSX2_MCF-7,0.515367031888337,0.99772560671462,286,21,1
MXI1,H1,MXI1_H1,0.259878304091843,1,573,153,1
MXI1,HeLa-S3,MXI1_HeLa-S3,0.196201565420301,1,1550,337,1
MXI1,K562,MXI1_K562,0.651721568660225,0.999999999933928,364,545,1
MYBL2,K562,MYBL2_K562,0.608714130452717,0.999997638699522,131,210,1
MYC,H1,MYC_H1,0.309367445908958,1,1962,440,1
MYC,HeLa-S3,MYC_HeLa-S3,0.0967866832924607,1,2646,1166,1
MYC,K562,MYC_K562,0.272874697342784,1,3132,11192,1
MYC,MCF-7,MYC_MCF-7,0.115774364641543,1,11626,3796,1
NEUROD1,K562,NEUROD1_K562,0.321852582638629,1,443,1343,1
NEUROD1,MCF-7,NEUROD1_MCF-7,1.40753624992868,0.014418114175201,1525,41,0.0861733800703874
NFATC3,K562,NFATC3_K562,1.74573588269404,7.60391434033345e-25,907,507,1.39586141818978e-23
NFE2,K562,NFE2_K562,1.12955571564447,6.49511557572367e-11,6012,5194,6.95518626233743e-10
NFE2L1,K562,NFE2L1_K562,1.15103768812216,7.41689621148973e-06,2076,1760,5.95669476985269e-05
NFE2L2,HeLa-S3,NFE2L2_HeLa-S3,0.74679264452881,0.999999829004512,6057,346,1
NFIB,MCF-7,NFIB_MCF-7,0.587612015966641,1,80226,5163,1
NFIC,K562,NFIC_K562,0.865276728743705,0.999999679236075,2216,2499,1
NFIX,K562,NFIX_K562,1.05712650971269,0.344687421550671,143,132,1
NFYA,HeLa-S3,NFYA_HeLa-S3,0.113016117969932,1,2390,902,1
NFYA,K562,NFYA_K562,0.340082990725051,1,938,2691,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.150740053128154,1,4980,1409,1
NFYB,K562,NFYB_K562,0.425649631856243,1,1983,4545,1
NR2C1,K562,NR2C1_K562,0.749393841653863,1,2609,3397,1
NR2C2,HeLa-S3,NR2C2_HeLa-S3,0.14509482568612,1,1017,299,1
NR2C2,K562,NR2C2_K562,0.287612876638667,1,6562,22232,1
NR2F1,K562,NR2F1_K562,0.862880425852704,1,7005,7921,1
NR2F2,K562,NR2F2_K562,1.18494307319463,1.33967969206286e-07,2040,1680,1.22963457450055e-06
NR2F2,MCF-7,NR2F2_MCF-7,0.688603798017081,1,11028,606,1
NR3C1,K562,NR3C1_K562,0.743471660260076,0.969748369472463,64,84,1
NR4A1,K562,NR4A1_K562,1.51710188336801,3.160445347462e-22,1337,860,5.41489636198489e-21
NRF1,H1,NRF1_H1,0.0630530921978407,1,2104,2311,1
NRF1,HeLa-S3,NRF1_HeLa-S3,0.00693649888418685,1,298,1832,1
NRF1,K562,NRF1_K562,0.0811074942856564,1,3272,39239,1
NRF1,MCF-7,NRF1_MCF-7,0.0118090563540439,1,1885,6029,1
OVOL1,MCF-7,OVOL1_MCF-7,0.193094971177406,1,1781,349,1
PBX2,K562,PBX2_K562,1.87880967062348,2.23400408671781e-113,3573,1856,1.43534762571619e-111
PKNOX1,K562,PKNOX1_K562,0.934804229409713,0.999987087122038,7600,7933,1
PKNOX1,MCF-7,PKNOX1_MCF-7,0.421584752585227,1,25077,2250,1
POU5F1,H1,POU5F1_H1,6.83558389517873,5.73693185280356e-67,3939,40,2.45731914361752e-65
PRDM1,HeLa-S3,PRDM1_HeLa-S3,0.664344597105295,0.999999999995088,5108,328,1
RBPJ,K562,RBPJ_K562,1.37852888388438,0.00328323834340177,178,126,0.0210948063563564
RELA,K562,RELA_K562,0.965925665639834,0.699068636519392,391,395,1
REST,H1,REST_H1,0.538884619175305,1,4769,614,1
REST,HeLa-S3,REST_HeLa-S3,0.584318746561462,1,11657,851,1
REST,K562,REST_K562,0.236954088791459,1,4257,17510,1
REST,MCF-7,REST_MCF-7,0.32566738361773,1,9753,1133,1
RFX1,K562,RFX1_K562,0.712298621983945,1,4092,5605,1
RFX1,MCF-7,RFX1_MCF-7,0.537724571594021,1,25556,1798,1
RFX5,H1,RFX5_H1,0.275838458436405,1,477,120,1
RFX5,HeLa-S3,RFX5_HeLa-S3,0.396080684274814,1,3259,351,1
