TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
ATF2,H1,ATF2_H1,0.549492568148733,1,2992,336,1
ATF2,HepG2,ATF2_HepG2,0.872677156365005,0.999999999992272,14142,3062,1
ATF3,H1,ATF3_H1,0.159327430011845,1,284,110,1
ATF3,HepG2,ATF3_HepG2,0.258084332802835,1,1631,1194,1
ATF4,HepG2,ATF4_HepG2,1.07203754658832,0.279553236174518,573,101,1
ATF6,HepG2,ATF6_HepG2,0.139900942088863,1,154,208,1
ATF7,HepG2,ATF7_HepG2,0.651730389864687,1,10818,3136,1
ATF7,MCF-7,ATF7_MCF-7,0.419831141403292,1,24026,1468,1
BACH1,H1,BACH1_H1,0.854589360130094,0.996781997776193,4542,328,1
BCL6,HepG2,BCL6_HepG2,1.27034276540133,1.5617861891722e-17,9102,1354,1.13730071211514e-16
BHLHE40,HepG2,BHLHE40_HepG2,0.303970444826731,1,4834,3004,1
CEBPA,HepG2,CEBPA_HepG2,2.37123676223498,8.39540162795439e-305,19732,1573,3.97382343723174e-303
CEBPB,H1,CEBPB_H1,0.838028751104762,0.987029736908859,2322,171,1
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.16721753590274,2.67577848561696e-93,37811,546,4.4701240583248e-92
CEBPB,HepG2,CEBPB_HepG2,1.46417068792389,1.50765113409142e-44,10653,1375,1.47645835200677e-43
CEBPB,MCF-7,CEBPB_MCF-7,1.1359330528016,0.00230767109135705,21912,495,0.0112996308611276
CEBPD,HepG2,CEBPD_HepG2,1.73013713332287,1.21330750039322e-60,7855,858,1.43574720879864e-59
CEBPG,HepG2,CEBPG_HepG2,1.47291159270905,2.08955787414808e-37,8628,1107,1.9143046330905e-36
CEBPG,MCF-7,CEBPG_MCF-7,1.35443600565209,6.59176002318065e-08,14937,283,3.8205302991496e-07
CLOCK,MCF-7,CLOCK_MCF-7,0.217395716775368,1,2330,275,1
CREB1,H1,CREB1_H1,0.19558122022846,1,1915,604,1
CREB1,HepG2,CREB1_HepG2,0.543880456291133,1,8749,3039,1
CREB1,MCF-7,CREB1_MCF-7,0.383705441498409,1,27571,1843,1
CREB3,HepG2,CREB3_HepG2,0.0773097295138856,1,250,611,1
CREM,HepG2,CREM_HepG2,0.204385889960812,1,3808,3519,1
CTCF,H1,CTCF_H1,0.34584277318195,1,28984,5155,1
CTCF,HeLa-S3,CTCF_HeLa-S3,0.160674113775247,1,122049,23640,1
CTCF,HepG2,CTCF_HepG2,0.168375046461868,1,44132,49190,1
CTCF,MCF-7,CTCF_MCF-7,0.19395764221186,1,168697,22162,1
CUX1,MCF-7,CUX1_MCF-7,0.985234502330479,0.58164957175694,3110,81,1
DBP,HepG2,DBP_HepG2,0.384922004265777,0.999999979001804,110,54,1
DLX6,HepG2,DLX6_HepG2,0.892322406311838,0.870353050750042,510,108,1
E2F1,HeLa-S3,E2F1_HeLa-S3,0.0508544890199363,1,829,510,1
E2F1,HepG2,E2F1_HepG2,0.0214806558315789,1,127,1117,1
E2F1,MCF-7,E2F1_MCF-7,0.10956420173115,1,3844,900,1
E2F2,HepG2,E2F2_HepG2,0.0473695754051555,1,90,359,1
E2F4,HeLa-S3,E2F4_HeLa-S3,0.0172863150910757,1,100,181,1
E2F4,HepG2,E2F4_HepG2,0.0436172680029242,1,329,1425,1
E2F4,MCF-7,E2F4_MCF-7,0.00823643129870365,1,26,81,1
E2F6,H1,E2F6_H1,0.227991331124881,1,17548,4733,1
E2F6,HeLa-S3,E2F6_HeLa-S3,0.0207821702815415,1,2227,3350,1
E2F8,MCF-7,E2F8_MCF-7,0.0177639547364044,1,99,143,1
EGR1,H1,EGR1_H1,0.122472057583323,1,6310,3171,1
EGR1,HepG2,EGR1_HepG2,0.0723925047878044,1,19818,51319,1
EGR1,MCF-7,EGR1_MCF-7,0.0509846287829567,1,8968,4506,1
ELF1,HepG2,ELF1_HepG2,0.276546517312199,1,12256,8366,1
ELF1,MCF-7,ELF1_MCF-7,0.138682670021281,1,22211,4104,1
ELF3,HepG2,ELF3_HepG2,0.485218706144047,1,16335,6358,1
ELF4,HepG2,ELF4_HepG2,0.0701326895918714,1,1017,2739,1
ELK1,HeLa-S3,ELK1_HeLa-S3,0.0139398814316819,1,533,1196,1
ELK1,HepG2,ELK1_HepG2,0.0257149983578922,1,231,1697,1
ELK1,MCF-7,ELK1_MCF-7,0.00691176231187824,1,428,1588,1
ELK4,HeLa-S3,ELK4_HeLa-S3,0.0292871681997157,1,1962,2095,1
ELK4,HepG2,ELK4_HepG2,0.0168634661361617,1,44,493,1
ERF,HepG2,ERF_HepG2,0.111102345153578,1,1341,2280,1
ESR1,MCF-7,ESR1_MCF-7,0.445804100828602,1,27320,1572,1
ESRRA,HepG2,ESRRA_HepG2,1.05211998912069,0.0418731897539087,7678,1379,0.182953629078616
ESRRA,MCF-7,ESRRA_MCF-7,0.430704816308792,1,11046,658,1
ETS1,HepG2,ETS1_HepG2,0.0738500175891581,1,498,1274,1
ETV4,HepG2,ETV4_HepG2,0.488576558532359,1,6292,2433,1
ETV5,HepG2,ETV5_HepG2,0.110040803067007,1,2736,4695,1
ETV6,HepG2,ETV6_HepG2,0.0528212481496459,1,418,1495,1
FOS,HeLa-S3,FOS_HeLa-S3,1.31330265172775,1.72310243099686e-15,33030,787,1.19356363512953e-14
FOS,MCF-7,FOS_MCF-7,1.41544645595272,2.70400693547347e-75,139609,2532,3.49062713488393e-74
FOSL1,H1,FOSL1_H1,0.226289382145295,0.99999999999794,132,36,1
