TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
ATF2,H1,ATF2_H1,0.586352867866102,1,2547,336,1
ATF2,HepG2,ATF2_HepG2,0.948144209057094,0.996666920617666,10232,3482,1
ATF2,K562,ATF2_K562,1.14720650486816,1.17556801629918e-14,6907,5569,9.15963412699778e-14
ATF3,H1,ATF3_H1,0.192684927050353,1,274,110,1
ATF3,HepG2,ATF3_HepG2,0.34209349607542,1,1213,1144,1
ATF3,K562,ATF3_K562,0.8751641195697,0.999999999969399,4668,4933,1
ATF4,HepG2,ATF4_HepG2,0.492245872343669,0.999999999999998,328,215,1
ATF4,K562,ATF4_K562,1.26655000114093,1.97092332416051e-30,5477,4000,1.84281330809008e-29
ATF6,HepG2,ATF6_HepG2,0.200816954766569,1,89,143,1
ATF6,K562,ATF6_K562,0.0513812187202219,1,26,468,1
ATF7,HepG2,ATF7_HepG2,0.729603021929301,1,7802,3450,1
ATF7,K562,ATF7_K562,0.593792027166664,1,3298,5136,1
BACH1,H1,BACH1_H1,0.817523357380331,0.999808080141653,3720,352,1
BACH1,K562,BACH1_K562,1.04769090599025,0.015892478670702,4574,4038,0.0667841238521635
BCL6,HepG2,BCL6_HepG2,1.33555667515285,1.87826856611156e-28,7036,1700,1.71334742372128e-27
BCL6,K562,BCL6_K562,2.02246541026173,1.22367698322634e-07,164,75,7.15086237072892e-07
BHLHE40,HepG2,BHLHE40_HepG2,0.52193122184088,1,4140,2559,1
BHLHE40,K562,BHLHE40_K562,0.596514298241874,1,2826,4381,1
CEBPA,HepG2,CEBPA_HepG2,1.28161400505306,1.55008970578187e-37,12538,3157,1.61037097211783e-36
CEBPB,H1,CEBPB_H1,0.753332069720606,0.999863109990149,1860,191,1
CEBPB,HeLa-S3,CEBPB_HeLa-S3,1.17515554243966,6.6764802227961e-10,22515,1440,4.45893500593882e-09
CEBPB,HepG2,CEBPB_HepG2,1.05636099129521,0.0138779931479769,6911,2111,0.0589814708789018
CEBPB,K562,CEBPB_K562,1.08570331872425,9.71752459993111e-05,4484,3820,0.000504771416718644
