TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
ZNF274,HeLa-S3,ZNF274_HeLa-S3,5.40329677422115,4352,9,4.65011659992414e-12
ZNF274,K562,ZNF274_K562,1.34756001282962,5398,254,7.00144626322985e-07
IKZF1,HepG2,IKZF1_HepG2,0.972452384555475,1501,33,0.608175017464019
ATF2,HepG2,ATF2_HepG2,0.645908981731898,226652,7501,1
ATF7,HepG2,ATF7_HepG2,0.58906993219059,176752,6414,1
CEBPG,K562,CEBPG_K562,0.516560919297414,45544,5590,1
MAFF,HepG2,MAFF_HepG2,0.494470533823941,112558,4866,1
CEBPB,K562,CEBPB_K562,0.47490391398545,73008,9746,1
ATF4,K562,ATF4_K562,0.460413285866564,69633,9588,1
ATF2,K562,ATF2_K562,0.433552775849029,95610,13979,1
MAFF,K562,MAFF_K562,0.407344241104354,36648,5704,1
CUX1,MCF-7,CUX1_MCF-7,0.377905463490008,16396,220,1
ATF7,MCF-7,ATF7_MCF-7,0.373513649531428,194725,2643,1
MAFK,HepG2,MAFK_HepG2,0.373102983425019,141539,8108,1
CEBPG,MCF-7,CEBPG_MCF-7,0.365510834265497,63869,886,1
ZKSCAN1,HeLa-S3,ZKSCAN1_HeLa-S3,0.363924571572429,7556,232,1
MAFG,K562,MAFG_K562,0.355732787470664,59085,10529,1
MAFF,HeLa-S3,MAFF_HeLa-S3,0.354207648275507,79858,2519,1
HLF,HepG2,HLF_HepG2,0.313730988838808,175181,11932,1
NFIX,K562,NFIX_K562,0.312013494450679,1614,328,1
SRF,H1,SRF_H1,0.304279171220972,38093,105,1
ZNF382,HepG2,ZNF382_HepG2,0.299849785223736,561,40,0.999999999909694
PBX2,K562,PBX2_K562,0.267959509394346,21568,5103,1
TFE3,K562,TFE3_K562,0.263635177609604,21195,5097,1
REST,HeLa-S3,REST_HeLa-S3,0.262062128600773,52774,2250,1
CREB1,HepG2,CREB1_HepG2,0.25934439329369,88205,7269,1
CEBPB,HepG2,CEBPB_HepG2,0.258225028072552,67183,5561,1
ZNF24,K562,ZNF24_K562,0.256271672947596,108212,26754,1
MNT,HepG2,MNT_HepG2,0.254788540974406,57621,4834,1
ZKSCAN1,HepG2,ZKSCAN1_HepG2,0.253346959548654,9421,795,1
CEBPB,HeLa-S3,CEBPB_HeLa-S3,0.25109089214715,99926,4446,1
CREB1,MCF-7,CREB1_MCF-7,0.250282355263716,181257,3671,1
ZKSCAN1,K562,ZKSCAN1_K562,0.247064130007259,7953,2041,1
MAFK,HeLa-S3,MAFK_HeLa-S3,0.245126383197686,66764,3043,1
MAFK,MCF-7,MAFK_MCF-7,0.243063550695243,72583,1514,1
CEBPB,MCF-7,CEBPB_MCF-7,0.241594988329947,75147,1577,1
MITF,K562,MITF_K562,0.24149098621299,108854,28558,1
HMBOX1,K562,HMBOX1_K562,0.235984365715622,6610,1776,1
CUX1,K562,CUX1_K562,0.233320134116957,2539,690,1
SREBF1,MCF-7,SREBF1_MCF-7,0.226121242601934,33804,758,1
IRF3,HeLa-S3,IRF3_HeLa-S3,0.223620212565321,1601,80,1
NFIB,MCF-7,NFIB_MCF-7,0.220493929429866,478632,10995,1
ATF3,K562,ATF3_K562,0.217776221854468,40868,11895,1
NFE2L2,HepG2,NFE2L2_HepG2,0.214495370821335,16786,1673,1
FOXA1,MCF-7,FOXA1_MCF-7,0.210232607842601,116535,2810,1
FOXA3,K562,FOXA3_K562,0.202886580807171,7955,2486,1
ZKSCAN1,MCF-7,ZKSCAN1_MCF-7,0.20235445909948,5547,139,1
FOS,MCF-7,FOS_MCF-7,0.202297188908134,405598,10156,1
GATA3,MCF-7,GATA3_MCF-7,0.201325377977977,39032,983,1
RFX1,MCF-7,RFX1_MCF-7,0.19993122618101,143099,3628,1
SRF,K562,SRF_K562,0.198520458560664,10815,3454,1
CEBPB,H1,CEBPB_H1,0.194755184957596,69437,299,1
FOXO4,K562,FOXO4_K562,0.193747974237015,110,36,0.999999999999956
IRF1,K562,IRF1_K562,0.193183994342705,52028,17068,1
ONECUT1,HepG2,ONECUT1_HepG2,0.193069949925034,81564,9028,1
USF2,HeLa-S3,USF2_HeLa-S3,0.186675732267189,63061,3774,1
ESR1,MCF-7,ESR1_MCF-7,0.186616081536454,116297,3159,1
TCF7L2,HeLa-S3,TCF7L2_HeLa-S3,0.185435869427073,32480,1957,1
RFX1,K562,RFX1_K562,0.183792263706453,36043,12430,1
IRF9,K562,IRF9_K562,0.179528811643759,2418,854,1
MEF2D,K562,MEF2D_K562,0.17938803525271,7028,2484,1
USF1,H1,USF1_H1,0.179021491930886,277445,1299,1
JUN,HepG2,JUN_HepG2,0.178253961973514,38495,4616,1
NFE2,K562,NFE2_K562,0.177329968133787,34787,12434,1
RFX5,HeLa-S3,RFX5_HeLa-S3,0.176762515369752,12102,765,1
JUND,HepG2,JUND_HepG2,0.169947441781357,129541,16283,1
TCF7L2,MCF-7,TCF7L2_MCF-7,0.166820473625568,33560,1020,1
FOXA1,K562,FOXA1_K562,0.164972522719419,882,339,1
RBPJ,K562,RBPJ_K562,0.164722787390986,717,276,1
ZNF282,HepG2,ZNF282_HepG2,0.162351834163294,243,32,0.999999999999999
MAFK,H1,MAFK_H1,0.160263436589898,94415,494,1
BCL6,K562,BCL6_K562,0.158654948662658,588,235,1
JUN,HeLa-S3,JUN_HeLa-S3,0.15682677831279,28185,2008,1
ZNF24,HepG2,ZNF24_HepG2,0.154677724371028,36082,4986,1
IRF2,K562,IRF2_K562,0.15467181949764,8802,3608,1
USF1,HepG2,USF1_HepG2,0.154499160919643,86149,11914,1
MAFK,K562,MAFK_K562,0.154396577071422,36898,15146,1
FOXA2,HepG2,FOXA2_HepG2,0.152282493504856,82574,11586,1
SRF,MCF-7,SRF_MCF-7,0.150394471884094,19784,667,1
JUND,HeLa-S3,JUND_HeLa-S3,0.150110344125609,218984,16287,1
NR2C2,HeLa-S3,NR2C2_HeLa-S3,0.148943343186339,6105,458,1
NEUROD1,MCF-7,NEUROD1_MCF-7,0.148535641147122,4101,140,1
SREBF2,HeLa-S3,SREBF2_HeLa-S3,0.14774547311668,952,72,1
NR2F2,MCF-7,NR2F2_MCF-7,0.147642353955897,35614,1223,1
MEF2A,K562,MEF2A_K562,0.147348697870174,5129,2207,1
FOS,HeLa-S3,FOS_HeLa-S3,0.146352866286281,57695,4404,1
NFATC3,K562,NFATC3_K562,0.144854949250673,2842,1244,1
FOSL1,K562,FOSL1_K562,0.142532558754202,87919,39062,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.141674782549417,31080,2451,1
ESRRB,K562,ESRRB_K562,0.141612173602048,67,30,0.999999999999995
SPI1,K562,SPI1_K562,0.141005842563146,63522,28538,1
ISX,HepG2,ISX_HepG2,0.140494967660162,184,28,0.999999999999998
ZNF274,HepG2,ZNF274_HepG2,0.139394985769567,8620,1322,1
SRF,HepG2,SRF_HepG2,0.137947812618239,9705,1504,1
STAT3,HeLa-S3,STAT3_HeLa-S3,0.137917835173006,21935,1777,1
ZNF652,HepG2,ZNF652_HepG2,0.136789946189229,17111,2674,1
MAFG,HepG2,MAFG_HepG2,0.135335470034035,5748,908,1
ZBTB33,MCF-7,ZBTB33_MCF-7,0.135305830264913,2615,98,1
