TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
ATF2_HepG2,ATF2,HepG2,0.645908981731898,226652,7501,1,35.353
ATF2_K562,ATF2,K562,0.433552775849029,95610,13979,1,49.266
ATF4_HepG2,ATF4,HepG2,0.0581400392663787,1493,549,1,688.821
ATF4_K562,ATF4,K562,0.460413285866564,69633,9588,1,374.613
ATF6_HepG2,ATF6,HepG2,0.0638092313969795,776,260,1,14.802
ATF6_K562,ATF6,K562,0.0448996381923445,558,788,1,28.37
ATF7_HepG2,ATF7,HepG2,0.58906993219059,176752,6414,1,11.257
ATF7_K562,ATF7,K562,0.100382195985663,18655,11779,1,11.579
BACH1_K562,BACH1,K562,0.101154746114207,15960,10001,1,21.378
BCL6_HepG2,BCL6,HepG2,0.10756970714607,24152,4799,1,28.63
BHLHE40_HepG2,BHLHE40,HepG2,0.0770441262895425,18939,5254,1,54.447
BHLHE40_K562,BHLHE40,K562,0.0821869869583583,14271,11006,1,76.397
CEBPA_HepG2,CEBPA,HepG2,0.122353324118114,51147,8933,1,33.365
CEBPB_H1,CEBPB,H1,0.194755184957596,69437,299,1,13.881
CEBPB_HeLa-S3,CEBPB,HeLa-S3,0.25109089214715,99926,4446,1,29.704
CEBPB_HepG2,CEBPB,HepG2,0.258225028072552,67183,5561,1,42.833
CEBPB_K562,CEBPB,K562,0.47490391398545,73008,9746,1,10.532
CEBPD_HepG2,CEBPD,HepG2,0.0738952669480383,14935,4320,1,26.114
CEBPG_HepG2,CEBPG,HepG2,0.125988908699764,27857,4726,1,31.207
CEBPG_K562,CEBPG,K562,0.516560919297414,45544,5590,1,33.139
CREB1_H1,CREB1,H1,0.0358648115947635,28404,664,1,10.351
CREB3_HepG2,CREB3,HepG2,0.0292264342261889,1188,869,1,11.7
CTCF_H1,CTCF,H1,0.0704742824863553,529488,6278,1,30.656
CTCF_HeLa-S3,CTCF,HeLa-S3,0.133040740196829,516607,43289,1,41.445
CTCF_HepG2,CTCF,HepG2,0.0732221365231958,259734,75513,1,18.7
CTCF_K562,CTCF,K562,0.0499383786761232,104267,131752,1,24.774
CTCFL_K562,CTCFL,K562,0.0233945947569543,6346,17189,1,83.547
E2F1_HeLa-S3,E2F1,HeLa-S3,0.0808985383400144,7052,974,1,58.356
E2F1_HepG2,E2F1,HepG2,0.0304257565106369,2058,1446,1,27.397
E2F1_K562,E2F1,K562,0.0448727754606272,2514,3552,1,17.021
E2F3_K562,E2F3,K562,0.0807258197779289,578,454,1,26.641
E2F4_HeLa-S3,E2F4,HeLa-S3,0.0905674208755633,2156,266,1,49.196
E2F4_HepG2,E2F4,HepG2,0.0282889211630403,2734,2066,1,85.897
E2F4_K562,E2F4,K562,0.039274087508082,734,1185,1,78.737
E2F6_HeLa-S3,E2F6,HeLa-S3,0.0654493487126504,30672,5235,1,16.479
E2F6_K562,E2F6,K562,0.0244741636799963,21808,56381,1,12.191
EGR1_K562,EGR1,K562,0.0331209047063077,97013,184449,1,11.191
ELF1_HepG2,ELF1,HepG2,0.0551765447815303,38836,15035,1,13.542
ELF1_K562,ELF1,K562,0.0610330526693811,29796,30921,1,21.775
ELF2_K562,ELF2,K562,0.0328038674114671,3230,6242,1,15.143
ELF3_HepG2,ELF3,HepG2,0.0631333073336156,42259,14299,1,14.166
ELF4_K562,ELF4,K562,0.0493952562073487,9165,11760,1,30.148
ELK1_HeLa-S3,ELK1,HeLa-S3,0.0581463928353233,9123,1753,1,10.551
ELK1_K562,ELK1,K562,0.0296793145362076,1748,3734,1,17.99
ELK4_HeLa-S3,ELK4,HeLa-S3,0.0681195102239849,19048,3124,1,15.617
ERF_HepG2,ERF,HepG2,0.0269392018774796,4256,3377,1,32.201
ERF_K562,ERF,K562,0.0377828415804279,842,1413,1,16.025
ESRRA_HepG2,ESRRA,HepG2,0.0914252806653034,17280,4040,1,16.104
ESRRA_K562,ESRRA,K562,0.119279005919939,18059,9597,1,21.409
ESRRB_K562,ESRRB,K562,0.141612173602048,67,30,0.999999999999995,11.625
ETV4_HepG2,ETV4,HepG2,0.0595137437972233,15691,5635,1,269.717
ETV5_HepG2,ETV5,HepG2,0.0315175040857438,10446,7083,1,32.326
FOS_HeLa-S3,FOS,HeLa-S3,0.146352866286281,57695,4404,1,11.02
FOSL2_HepG2,FOSL2,HepG2,0.11389493632381,91314,17125,1,19.26
FOXA1_HepG2,FOXA1,HepG2,0.114862310367549,61677,11473,1,32.379
FOXA2_HepG2,FOXA2,HepG2,0.152282493504856,82574,11586,1,10.875
FOXA3_HepG2,FOXA3,HepG2,0.0792539368313495,26612,7176,1,57.199
FOXA3_K562,FOXA3,K562,0.202886580807171,7955,2486,1,12.738
FOXK2_HepG2,FOXK2,HepG2,0.0523158409543425,4197,1715,1,47.11
FOXK2_K562,FOXK2,K562,0.10992187559966,9134,5268,1,22.638
