"TF","TF_cellline","End_Dyad_Ratio","EMI.penetration","Dyad.EMI.intensity","End.preference","Dyad.preference"
"ATF2","ATF2_H1",0.699089602299952,8.5,0.056967743,"Yes","No"
"ATF2","ATF2_HepG2",1.48568376068376,8.5,0.056967743,"Yes","No"
"CEBPB","CEBPB_K562",1.46090681899322,6,0.027267653,"Yes","No"
"CEBPB","CEBPB_H1",2.97556142668428,6,0.027267653,"Yes","No"
"CEBPB","CEBPB_MCF7",1.36070071760236,6,0.027267653,"Yes","No"
"CEBPB","CEBPB_HeLaS3",1.24101479915433,6,0.027267653,"Yes","No"
"CLOCK","CLOCK_MCF7",2.03954081632653,7,0.040673268,"Yes","No"
"CREB1","CREB1_MCF7",1.17669942669943,7,0.050678727,"Yes","No"
"CREB1","CREB1_HepG2",1.25483372003094,7,0.050678727,"Yes","No"
"ELF1","ELF1_MCF7",1.63211678832117,11.5,0.03532022,"Yes","No"
"FOXA2","FOXA2_HepG2",0.921952268329392,13,0.034482326,"Yes","No"
"GATA3","GATA3_MCF7",1.33688088415882,8.5,0.023213422,"Yes","No"
"JUND","JUND_HepG2",1.83191368540602,7.5,0.103951543,"Yes","No"
"JUND","JUND_MCF7",0.739789018122802,7.5,0.103951543,"Yes","No"
"JUND","JUND_HeLaS3",0.797881633544442,7.5,0.103951543,"Yes","No"
"JUND","JUND_H1",1.24089306698002,7.5,0.103951543,"Yes","No"
"PITX1","PITX1_HepG2",0.95609756097561,13.5,0.025381502,"Yes","No"
"RFX1","RFX1_MCF7",1.82499358480883,7,0.07705819,"Yes","No"
"RFX3","RFX3_HepG2",2.37558685446009,5.5,0.107153752,"Yes","No"
"SREBF1","SREBF1_MCF7",1.36220472440945,6,0.016650071,"Yes","No"
"SRF","SRF_K562",1.13565536205316,10.5,0.117995838,"Yes","No"
"SRF","SRF_H1",1.20691310609698,10.5,0.117995838,"Yes","No"
"SRF","SRF_HepG2",0.865853658536585,10.5,0.117995838,"Yes","No"
"TFE3","TFE3_K562",2.25465838509317,7,0.027008249,"Yes","No"
"USF2","USF2_HeLaS3",1.24187577128754,12,0.059966073,"Yes","No"
