
,TF,Domain,EMI penetration (lig147),End preference,Periodicity strength,Periodic preference,Phase relative to TA (pi),Groove preference,Dyad EMI intensity,Dyad preference,Gyre-spanning mode intensity,Gyre-spanning,Orientational asymmetry,Log10(p_value of asymmetry) ,Orientational preference,Log2(EMIub/EMIb),Nucleosome stability
,CDX1,Homeodomain,44.5,No,1.39E-03,Yes,-0.461822144,Major,0.16135139,No,0.253639729,No,0.041960624,-3.65E+00,No,0.280062135,Destabilizer
,YBX1,CSD,42.5,No,2.19E-05,No,-0.139107263,NA,0.139548553,No,0.244547796,No,0.104155243,-1.88E-03,No,0.273831909,Destabilizer
,MIXL1,Homeodomain,42,No,0.001054765,Yes,0.05190709,Major,0.152133641,No,0.259741885,No,0.021738153,-9.28E-04,No,0.051660563,Destabilizer
,FOXD3,Forkhead,42,No,0.001221123,Yes,-0.539158324,Minor,0.143332547,No,0.257248039,No,0.019645646,-1.04E-06,No,0.025710536,Destabilizer
,HOXA10,Homeodomain,42,No,0.000696095,No,-0.518617726,NA,0.153717891,No,0.251918287,No,0.049240658,-4.183990747,No,0.04223858,Destabilizer
,SHOX,Homeodomain,41,No,0.001559628,Yes,-0.136902611,Major,0.174260968,No,0.255177562,No,0.02431808,-0.042323795,No,0.200039302,Destabilizer
,NKX6-2,Homeodomain,40.5,No,0.000761559,No,-0.430587668,NA,0.164176496,No,0.239937848,No,NA,NA,NA,NA,NA
,PDX1,Homeodomain,40.5,No,0.001597097,Yes,-0.364054563,Major,0.159200698,No,0.249336851,No,0.029351999,-4.81E+00,No,NA,NA
,LBX2,Homeodomain,40,No,0.001114794,Yes,-0.347092316,Major,0.166520327,No,0.255052398,No,0.023738173,-3.37E-01,No,0.060280922,Destabilizer
,MSX2,Homeodomain,40,No,0.001160581,Yes,-0.00409437,Major,0.126252352,No,0.25494544,No,0.027585057,-9.55E-01,No,-0.055316945,Stabilizer
,LMX1A,Homeodomain,39.5,No,0.000804185,No,-0.459900866,NA,0.13900072,No,0.252832941,No,0.023440097,-6.50E-03,No,0.046218326,Destabilizer
,MSX1,Homeodomain,39,No,0.00143298,Yes,-0.223771473,Major,0.118740731,No,0.256523145,No,0.024507816,-1.74E-01,No,0.001882161,Destabilizer
,LMX1B,Homeodomain,38.5,No,0.000593345,No,-0.11497428,NA,0.170908385,No,0.249327977,No,0.035111975,-3.73E+00,No,0.197627587,Destabilizer
,EN2,Homeodomain,38.5,No,0.000487362,No,-0.509334018,NA,0.172875126,No,0.240585168,No,0.024748258,-1.34E-05,No,NA,NA
,EN1,Homeodomain,38.5,No,0.000822806,No,-0.569215842,NA,0.184701325,No,0.229435697,No,0.032571948,-2.85E-02,No,NA,NA
,TGIF2LY,MEIS,37.5,No,0.000327906,No,0.924797665,NA,0.09568015,No,0.258688969,No,0.023402425,-2.28E-04,No,0.253921382,Destabilizer
,MYBL1,MYB,37.5,No,0.000232413,No,0.945106578,NA,0.187444446,No,0.245478837,No,NA,NA,NA,-0.091019398,Stabilizer
,MEIS3,MEIS,37.5,No,0.000749827,No,0.805757217,NA,0.132397615,No,0.257166689,No,0.031310771,-1.20E-01,No,0.019469592,Destabilizer
,HES2,bHLH,37.5,No,0.002186235,Yes,-0.611764732,Minor,0.097827791,No,0.236322129,No,NA,NA,NA,NA,NA
,TGIF2LX,MEIS,36.5,No,0.000466426,No,0.791294249,NA,0.122648128,No,0.248642643,No,0.026573593,-2.42E-05,No,-0.114759374,Stabilizer
,FOXI1,Forkhead,36,No,0.00116786,Yes,-0.464824673,Major,0.096503365,No,0.248457586,No,0.018953859,-0.000892066,No,-0.129402163,Stabilizer
,RUNX3,RUNT,36,No,0.001554889,Yes,-0.752318424,Minor,0.120906873,No,0.245872696,No,0.050648198,-2.381807528,No,-0.133582806,Stabilizer
,RAX,Homeodomain,35.5,No,0.001451073,Yes,-0.192500274,Major,0.111821485,No,0.25584326,No,0.019229839,-0.048886257,No,-0.025397213,Stabilizer
