Ensemble_ID,TF_name,H1,HeLaS3,HepG2,K562
ENSG00000001167,NFYA,13.316,12.506,10.116,15.622
ENSG00000006194,ZNF263,11.8,5.907,5.815,5.033
ENSG00000006377,DLX6,0.008,0,1.8,0
ENSG00000006468,ETV1,17.763,0,0.013,2.706
ENSG00000007968,E2F2,2.493,6.696,0.515,3.114
ENSG00000008441,NFIX,0.157,0.046,1.396,1.516
ENSG00000020633,RUNX3,0.458,0.002,0.194,0.019
ENSG00000025156,HSF2,8.162,16.033,14.172,37.405
ENSG00000028277,POU2F2,5.82,0.023,0.103,0.078
ENSG00000057657,PRDM1,0.239,0.752,0.011,0.111
ENSG00000066136,NFYC,10.739,11.449,18.392,14.626
ENSG00000066336,SPI1,0.09,0.008,0.014,12.521
ENSG00000067082,KLF6,6.513,4.437,38.078,8.407
ENSG00000068305,MEF2A,6.661,27.846,14.559,5.05
ENSG00000068323,TFE3,25.306,11.404,8.542,8.164
ENSG00000069011,PITX1,0.011,10.377,5.396,14.582
ENSG00000069667,RORA,0.827,0.013,7.281,0.001
ENSG00000070444,MNT,8.419,1.539,1.484,1.837
ENSG00000071564,TCF3,88.293,15.051,26.145,27.432
ENSG00000072310,SREBF1,29.191,6.826,17.775,20.77
ENSG00000072736,NFATC3,11.198,21.453,41.535,56.333
ENSG00000073861,TBX21,0.025,0,0.004,0.008
ENSG00000074219,TEAD2,86.017,6.88,8.068,7.689
ENSG00000075426,FOSL2,0.824,22.925,19.26,0.34
ENSG00000077150,NFKB2,3.988,20.723,11.14,5.675
ENSG00000080298,RFX3,2.262,1.459,2.405,1.235
ENSG00000081059,TCF7,1.867,0.003,2.237,1.058
ENSG00000081189,MEF2C,0.301,0.012,0.001,11.849
ENSG00000082641,NFE2L1,96.182,39.18,148.277,28.465
ENSG00000084093,REST,17.977,18.564,8.727,11.52
ENSG00000090447,TFAP4,15.228,8.136,9.69,7.683
ENSG00000091831,ESR1,0.014,0.048,0.002,0.002
ENSG00000095794,CREM,3.226,25.593,3.652,9.47
ENSG00000100219,XBP1,87.318,93.63,237.334,64.423
ENSG00000100811,YY1,34.797,33.336,16.884,18.178
ENSG00000101057,MYBL2,119.141,33.061,11.413,31.959
ENSG00000101076,HNF4A,0.004,0.663,72.693,0.005
ENSG00000101190,TCFL5,7.609,15.666,13.45,8.939
ENSG00000101216,GMEB2,6.836,7.801,11.139,7.372
ENSG00000101412,E2F1,25.728,58.356,27.397,17.021
ENSG00000102034,ELF4,0.648,16.168,3.087,30.148
ENSG00000102145,GATA1,0.014,0.012,0.029,125.155
ENSG00000102554,KLF5,1.682,119.841,3.209,0.526
ENSG00000102974,CTCF,30.656,41.445,18.7,24.774
ENSG00000103495,MAZ,95.61,45.276,80.09,76.867
ENSG00000104856,RELB,4.237,2.203,2.434,0.161
ENSG00000105516,DBP,3.386,0.934,1.347,0.493
ENSG00000105698,USF2,52.655,34.928,74.787,36.013
ENSG00000105722,ERF,25.827,9.93,32.201,16.025
ENSG00000105866,SP4,8.932,5.538,2.888,6.033
ENSG00000106004,HOXA5,0,1.601,2.738,0.027
ENSG00000106261,ZKSCAN1,8.92,14.094,49.981,29.789
ENSG00000106459,NRF1,5.273,9.332,6.646,12.513
ENSG00000107175,CREB3,13.898,14.628,11.7,8.038
ENSG00000107485,GATA3,0.227,0.005,0,0.01
ENSG00000108788,MLX,20.764,39.842,61.019,37.419
ENSG00000108924,HLF,0.164,0.553,180.956,0.026
ENSG00000109381,ELF2,6.6,15.925,8.173,15.143
ENSG00000110851,PRDM4,6.956,17.909,8.49,15.582
ENSG00000111145,ELK3,16.327,2.271,1.821,0.973
ENSG00000112242,E2F3,24.325,23.413,7.934,26.641
ENSG00000112658,SRF,28.779,24.126,51.26,28.712
ENSG00000112837,TBX18,0.01,0,0.002,16.86
ENSG00000113580,NR3C1,1.945,39.191,6.446,8.516
ENSG00000113658,SMAD5,NA,NA,NA,NA
ENSG00000113916,BCL6,1.896,1.569,28.63,1.806
ENSG00000114315,HES1,10.269,2.859,13.137,5.306
ENSG00000114861,FOXP1,3.881,1.443,7.353,1.77
ENSG00000115415,STAT1,16.022,17.966,14.867,14.09
ENSG00000115966,ATF2,8.802,31.605,35.353,49.266
ENSG00000116044,NFE2L2,11.293,87.549,75.313,45.437
ENSG00000116604,MEF2D,5.991,5.602,3.848,2.236
ENSG00000118217,ATF6,14.868,40.67,14.802,28.37
ENSG00000118260,CREB1,10.351,6.99,6.349,6.432
ENSG00000118513,MYB,1.483,0.496,0.009,37.209
ENSG00000118707,TGIF2,32.165,5.943,42.89,14.393
ENSG00000119138,KLF9,0.487,3.876,7.987,6.582
ENSG00000119547,ONECUT2,0.969,9.635,3.953,0.837
ENSG00000119715,ESRRB,0.192,0,0.237,11.625
ENSG00000119950,MXI1,5.158,11.481,13.788,13.548
ENSG00000120149,MSX2,0.305,0.796,0,0
ENSG00000120690,ELF1,4.326,8.562,13.542,21.775
ENSG00000120738,EGR1,4.798,0.078,5.786,11.191
ENSG00000120798,NR2C1,14.071,18.405,21.27,12.955
ENSG00000120837,NFYB,8.853,21.263,6.045,12.34
ENSG00000121068,TBX2,0.001,0.526,2.153,0
ENSG00000123358,NR4A1,4.533,6.695,4.965,0.762
ENSG00000123405,NFE2,0.967,1.204,2.996,143.183
ENSG00000124092,CTCFL,0.202,0,0.011,83.547
ENSG00000124216,SNAI1,5.827,0.269,1.708,4.664
ENSG00000124664,SPDEF,0.078,0.009,0.018,0.091
ENSG00000124782,RREB1,4.27,0.973,3.184,2.467
ENSG00000125347,IRF1,0.781,3.527,1.413,1.374
ENSG00000125798,FOXA2,0.259,0,10.875,0.052
ENSG00000125952,MAX,12.441,18.096,12.946,22.247
ENSG00000126456,IRF3,36.949,23.491,33.272,29.507
ENSG00000126746,ZNF384,16.913,16.083,20.804,15.235
ENSG00000126767,ELK1,15.964,10.551,3.33,17.99
ENSG00000126778,SIX1,0.186,0.536,0.886,0.409
ENSG00000128272,ATF4,256.697,373.851,688.821,374.613
ENSG00000128604,IRF5,0.244,0.075,0.995,0.001
ENSG00000129173,E2F8,4.876,5.662,2.462,9.012
ENSG00000129514,FOXA1,0.035,2.025,32.379,0.688
ENSG00000129535,NRL,0.469,0.652,1.94,0.722
ENSG00000129911,KLF16,18.918,1.474,4.545,4.942
ENSG00000130522,JUND,46.684,14.063,46.019,41.064
ENSG00000130675,MNX1,0.054,0.232,0.575,0.446
ENSG00000130803,ZNF317,15.064,6.275,8.322,12.398
ENSG00000131759,RARA,5.149,0.621,2.739,1.089
ENSG00000131931,THAP1,7.422,11.713,5.024,6.916
ENSG00000132005,RFX1,7.01,0.384,0.687,0.974
ENSG00000132170,PPARG,0.027,25.256,26.049,0
ENSG00000134107,BHLHE40,1.966,13.925,54.447,76.397
ENSG00000134138,MEIS2,0.024,1.493,1.128,2.585
ENSG00000134852,CLOCK,6.232,9.069,4.715,7.271
ENSG00000134954,ETS1,12.971,3.248,0.15,0.032
ENSG00000135100,HNF1A,0.007,0.001,6.285,0.001
ENSG00000135111,TBX3,0.128,34.627,17.534,0.134
ENSG00000135457,TFCP2,17.055,23.91,5.886,25.179
ENSG00000136451,VEZF1,23.586,22.373,28.307,12.179
ENSG00000136574,GATA4,0.103,0,13.418,0.015
ENSG00000136826,KLF4,0.872,13.957,0.364,0.115
ENSG00000136931,NR5A1,0.177,0.001,28.131,0.029
ENSG00000136997,MYC,47.639,141.813,62.761,87.278
ENSG00000137265,IRF4,0.483,0.001,0.069,0.005
ENSG00000138795,LEF1,0.047,0,0.051,13.493
ENSG00000139083,ETV6,9.779,2.786,2.717,2.611
ENSG00000139651,ZNF740,5.175,36.608,12.53,19.283
ENSG00000140265,ZSCAN29,9.495,12.297,7.095,8.496
ENSG00000141510,TP53,49.506,4.728,9.476,4.004
ENSG00000141568,FOXK2,21.031,13.084,47.11,22.638
ENSG00000141905,NFIC,2.251,0.847,0.976,1.783
ENSG00000143390,RFX5,15.763,57.071,9.342,17.872
ENSG00000143842,SOX13,17.696,9.476,9.329,0.027
ENSG00000143995,MEIS1,0.032,2.562,0.786,1.517
ENSG00000147421,HMBOX1,3.532,9.874,11.084,27.414
ENSG00000147862,NFIB,2.657,6.256,0.474,0.466
ENSG00000148516,ZEB1,0.02,7.072,5.117,2.213
ENSG00000148737,TCF7L2,35.414,2.279,6.916,0.215
ENSG00000151090,THRB,0.763,2.405,3.259,6.422
ENSG00000153879,CEBPG,16.798,62.57,31.207,33.139
ENSG00000154727,GABPA,7.44,22.767,4.784,15.273
ENSG00000155090,KLF10,9.54,14.792,19.748,8.027
ENSG00000156127,BATF,0,0,0.52,0.132
ENSG00000156273,BACH1,6.343,19.393,7.117,21.378
ENSG00000157557,ETS2,17.489,16.445,43.13,5.129
ENSG00000157613,CREB3L1,12.262,0.043,0,1.274
ENSG00000158711,ELK4,4.672,15.617,5.012,7.452
ENSG00000158773,USF1,15.905,21.761,16.612,27.842
ENSG00000159216,RUNX1,0.034,1.222,1.45,3.715
ENSG00000159556,ISL2,0.238,1.09,4.106,3.512
ENSG00000160199,PKNOX1,5.339,9.732,3.783,6.316
ENSG00000160685,ZBTB7B,7.166,13.589,14.957,14.262
ENSG00000161298,ZNF382,1.28,0.006,1.074,0.065
ENSG00000162599,NFIA,0.618,8.222,5.278,4.121
ENSG00000162676,GFI1,0.045,0.583,8.272,0.758
ENSG00000162772,ATF3,3.804,13.604,7.162,5.723
ENSG00000162992,NEUROD1,0.012,0,0,0
ENSG00000163435,ELF3,1.07,5.238,14.166,0.198
ENSG00000163848,ZNF148,3.368,12.185,4.493,4.429
ENSG00000164330,EBF1,0.067,0,0,0.013
ENSG00000164683,HEY1,0.604,6.928,1.791,4.467
ENSG00000164749,HNF4G,0.313,0.196,8.444,0
ENSG00000164916,FOXK1,1.901,1.88,3.52,2.594
ENSG00000165030,NFIL3,6.22,17.927,51.022,8.325
ENSG00000165891,E2F7,7.881,16.886,1.445,6.76
ENSG00000166478,ZNF143,7.917,13.492,10.193,16.694
ENSG00000166949,SMAD3,3.472,7.424,22.824,8.551
ENSG00000167034,NKX3-1,0.909,1.614,1.437,0.033
ENSG00000167074,TEF,2.295,1.826,5.132,1.45
ENSG00000167081,PBX3,9.598,18.556,2.567,0.619
ENSG00000167182,SP2,9.2,1.919,3.145,2.384
ENSG00000168214,RBPJ,59.634,17.885,14.793,22.697
ENSG00000168286,THAP11,32.481,40.573,54.116,24.709
ENSG00000168310,IRF2,4.252,12.842,21.134,8.823
ENSG00000168610,STAT3,25.996,25.535,47.722,49.253
ENSG00000169016,E2F6,3.109,16.479,13.561,12.191
ENSG00000169856,ONECUT1,4.175,0,3.448,0
ENSG00000169926,KLF13,7.038,15.574,8.238,1.471
ENSG00000170265,ZNF282,11.916,9.455,11.458,17.681
ENSG00000170345,FOS,3.733,11.02,11,2.632
ENSG00000170608,FOXA3,11.046,0.007,57.199,12.738
ENSG00000170653,ATF7,4.934,11.4,11.257,11.579
ENSG00000171223,JUNB,5.904,45.511,13.404,19.137
ENSG00000171448,ZBTB26,5.007,24.883,7.381,16.926
ENSG00000171606,ZNF274,10.806,13.841,15.374,27.038
ENSG00000172059,KLF11,3.449,24.048,8.225,8.376
ENSG00000172216,CEBPB,13.881,29.704,42.833,10.532
ENSG00000172273,HINFP,3.28,3.113,3.864,5.371
ENSG00000172466,ZNF24,23.306,35.453,19.304,53.337
ENSG00000172818,OVOL1,1.443,0.023,0.023,0.003
ENSG00000173039,RELA,7.39,6.496,17.299,8.94
ENSG00000173153,ESRRA,9.08,17.859,16.104,21.409
ENSG00000174197,MGA,8.698,21.572,4.566,11.829
ENSG00000175329,ISX,0,0,0.85,0.089
ENSG00000175592,FOSL1,6.166,0.916,2.727,5.448
ENSG00000175745,NR2F1,0.006,15.039,28.148,0.022
ENSG00000175832,ETV4,80.907,1.159,269.717,23.728
ENSG00000177463,NR2C2,6.08,4.496,3.986,5.868
ENSG00000177485,ZBTB33,6.196,21.599,5.808,14.011
ENSG00000177606,JUN,4.917,3.728,28.156,7.264
ENSG00000178951,ZBTB7A,17.29,1.232,3.32,1.772
ENSG00000179348,GATA2,0.071,12.508,2.323,18.362
ENSG00000179528,LBX2,0.101,0.097,1.657,0.255
ENSG00000181827,RFX7,15.035,7.167,9.956,7.216
ENSG00000184481,FOXO4,8.692,8.229,6,5.205
ENSG00000185022,MAFF,2.963,4.103,13.95,3.428
ENSG00000185122,HSF1,18.164,3.96,11.274,10.278
ENSG00000185155,MIXL1,1.314,0,9.761,0.005
ENSG00000185551,NR2F2,0.021,4.756,2.575,3.902
ENSG00000185591,SP1,20.044,69.115,18.184,37.404
ENSG00000185811,IKZF1,0.26,0,0.001,14.525
ENSG00000187079,TEAD1,11.729,89.064,13.307,5.042
ENSG00000187098,MITF,0.362,9.953,0.048,4.793
ENSG00000188786,MTF1,4.467,9.445,4.559,7.068
ENSG00000196092,PAX5,0.134,0.006,0,0.001
ENSG00000196652,ZKSCAN5,5.494,7.053,4.585,9.593
ENSG00000197063,MAFG,22.73,12.51,21.655,26.117
ENSG00000197714,ZNF460,5.447,12.527,12.671,17.089
ENSG00000197905,TEAD4,43.986,18.651,51.057,13.974
ENSG00000198081,ZBTB14,6.85,12.557,4.994,7.17
ENSG00000198176,TFDP1,27.768,70.65,21.553,50.457
ENSG00000198517,MAFK,5.343,7.042,8.033,2.39
ENSG00000198740,ZNF652,6.112,9.011,8.469,5.208
ENSG00000198911,SREBF2,97.283,23.51,68.32,42.778
ENSG00000203883,SOX18,0.34,0.106,2.176,0.493
ENSG00000204231,RXRB,5.239,25.136,34.145,25.767
ENSG00000204304,PBX2,32.574,15.417,37.774,49.678
ENSG00000204366,ZBTB12,12.123,3.31,6.374,3.23
ENSG00000204531,POU5F1,182.963,0.244,1.113,0.072
ENSG00000205250,E2F4,45.329,49.196,85.897,78.737
ENSG00000213928,IRF9,2.771,5.684,19.076,4.354
ENSG00000213999,MEF2B,3.211,2.249,4.403,2.381
ENSG00000214717,ZBED1,16.382,21.81,20.174,7.7
ENSG00000221869,CEBPD,1.369,5.626,26.114,2.444
ENSG00000244405,ETV5,12.322,0.755,32.326,6.085
ENSG00000245848,CEBPA,1.444,2.322,33.365,0.185
ENSG00000257923,CUX1,8.967,2.642,3.308,2.388
ENSG00000275410,HNF1B,NA,NA,NA,NA
